,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.40%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,7/1/21,"
                      From a certified biodynamic vineyard, this white offers mouthcoating flavors of apple, peach and grapefruit brightened by sappy acidity. The vivid freshness and exceptional length of this wine make it a good match for poultry, pork, pasta salads and seafood.                      Paul Gregutt ",,King Estate 2019 Pinot Gris (Willamette Valley),$19 , Oregon,92, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,King Estate
1,13.50%,"North Coast, North Coast, California, US",750 ml,White, US,7/1/21,"
                      This nicely dry and tangy, medium-bodied wine offers fresh apricot and green-apple aromas, vivid fruit flavors and nuances of almond that build on the palate. It is a flavorful, complex and balanced white.                      Jim Gordon ",Reserve Ryan German Vineyards,Anthony & Dominic 2018 Reserve Ryan German Vineyards Pinot Gris (North Coast),$15 , California,90, North Coast,North Coast,Not rated yet [Add Your Review],Pinot Gris,2018,Anthony & Dominic
2,13%,"Mendocino County, Mendocino County, California, US",750 ml,White, US,7/1/21,"
                      A light pinkish tint lets some of the grape variety's natural color come through in this excellent, lively peach-and-apricot scented wine. A sense of freshness and crispness helps the flavors really pop.                      Jim Gordon ",Small Lot,Parducci 2020 Small Lot Pinot Gris (Mendocino County),$14 , California,89, Mendocino County,Mendocino County,Not rated yet [Add Your Review],Pinot Gris,2020,Parducci
4,13%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,5/1/21,"
                      Very aromatic and bright, this charming wine overflows with aromas of lemon blossoms and crisp apples, offers fresh citrus flavors and great balance. It's refreshing and vibrant.                      Jim Gordon ",,Navarro 2019 Pinot Gris (Anderson Valley),$22 , California,92, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Navarro
5,13%,"San Luis Obispo County, Central Coast, California, US",750 ml,White, US,5/1/21,"
                      Fresh aromas of Anjou pear flesh, gardenia and peach blossoms make for a very floral and inviting nose on this bottle from a vineyard that overlooks the ocean. There's ample grip to the sip, where lime-like bubblegum flavors make for a lively, refreshing experience.                      Matt Kettmann ",Derbyshire Vineyard,Derby 2018 Derbyshire Vineyard Pinot Gris (San Luis Obispo County),$22 , California,91, Central Coast,San Luis Obispo County,Not rated yet [Add Your Review],Pinot Gris,2018,Derby
6,13%,"Columbia Gorge (WA), Washington Other, Washington, US",750 ml,White, US,5/1/21,"
                      This is a new offering from the winery, with the grapes left on skins for 40 days. The color is almost apple cider-like in appearance but with a slightly more red, cloudy hue. The aromas bring notes of fresh raspberry, pink grapefruit and whole pomegranate. The flavors are bright and fresh, with a lot of texture and graininess in feel. The aesthetics of the color might dissuade some, but the aromas and flavors deliver.                      Sean P. Sullivan ",Skin Contract De Gris Underwood Mountain Vineyards,Savage Grace 2019 Skin Contract De Gris Underwood Mountain Vineyards Pinot Gris (Columbia Gorge (WA)),$30 , Washington,91, Washington Other,Columbia Gorge (WA),Not rated yet [Add Your Review],Pinot Gris,2019,Savage Grace
7,13.60%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,5/1/21,"
                      Light but distinctive, this elegant wine carries floral, pine and a hint of pineapple in its basket of flavors, braced nicely by brisk acidity that balances good concentration and depth. It shows what a cool climate can do for an often boring varietal.                      Jim Gordon ",,Handley 2019 Pinot Gris (Anderson Valley),$24 , California,90, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Handley
8,12.90%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,5/1/21,"
                      The aromas bring notes of star fruit and Asian pear, with whiffs of the underside of a pineapple and the palate showing more of the same. A mouthwatering finish caps it off. It's a distinctive wine for the state. I can't think of another quite like it.                      Sean P. Sullivan ",,Boomtown 2019 Pinot Gris (Columbia Valley (WA)),$19 , Washington,90, Columbia Valley,Columbia Valley (WA),Not rated yet [Add Your Review],Pinot Gris,2019,Boomtown
9,14.80%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,5/1/21,"
                      A light buttery, nutty quality gives this wine a serious, mature edge that is fascinating to taste. Almond, vanilla and a hint of honey dominate very dry fruit flavors.                      Jim Gordon ",Filligreen Farms,Bee Hunter 2017 Filligreen Farms Pinot Gris (Anderson Valley),$28 , California,90, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Pinot Gris,2017,Bee Hunter
10,13.70%,"Edna Valley, Central Coast, California, US",750 ml,White, US,5/1/21,"
                      Very light in the glass, this bottling begins with aromas of honeysuckle, grapefruit and pear peel on the clean nose. The palate is a bit subtle in texture, but delivers fine flavors of tart pear and apple skin.                      Matt Kettmann ",Paragon Vineyard,Tangent 2019 Paragon Vineyard Pinot Gris (Edna Valley),$17 , California,88, Central Coast,Edna Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Tangent
11,13.50%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      The handwritten label indicates that this is a limited edition wine, sourced from the original vines, now a half century old. This is done in a subtle, elegant style that rewards your full attention. Hints of bee pollen, lemon rind and brioche adorn a deceptively light but textured and layered wine with a lingering finish. The green apple fruit anchors the palate without dominating.                      Paul Gregutt ",,The Eyrie Vineyards 2019 Pinot Gris (Dundee Hills),$41 , Oregon,94, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2019,The Eyrie Vineyards
12,13.90%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      Eyrie was the first to plant Pinot Gris in America, long before it became Oregon's most famous white grape. No surprise that five decades later it's Eyrie that makes the state's most distinctive, elegant version of the grape. Beautifully textured mixed tree fruits—apple and white peach—are on display here, along with details of freshly baked bread and light herbs such as parsley. A touch of melon comes up in the back palate, and the wine just keeps chugging along through a marvelous finish.                      Paul Gregutt ",,The Eyrie Vineyards 2018 Pinot Gris (Dundee Hills),$21 , Oregon,93, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Gris,2018,The Eyrie Vineyards
13,12.90%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,4/1/21,"
                      A chunky, fruity, tangy style, this delicious bottle pulls tangerine, pear and apple fruit flavors into the center ring. It's spicy, juicy and just plain yummy. As in past vintages, the intensity is further amped up by perfectly pitched acidity, thanks to no malolactic fermentation.                      Paul Gregutt ",Estate Bottled,Cardwell Hill 2019 Estate Bottled Pinot Gris (Willamette Valley),$20 , Oregon,92, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Gris,2019,Cardwell Hill
