,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.3%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,7/1/2021,"
                      This is a blend of 80% Cabernet Franc, 10% Merlot and 10% Malbec. It's smooth and softened with age, yet still loaded with rich, ripe fruit. Blueberry, plum and black cherry combine in a deft and graceful wine, which spent two years in barrel. Subtle notes of herbs and tanned leather come through, along with coffee and chocolate. It's in perfect drinking condition and should remain there through 2024.                      Paul Gregutt ",Arsenal,Quady North 2014 Arsenal Red (Applegate Valley),$40, Oregon,94, Southern Oregon,Applegate Valley,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2014,Quady North
1,15.4%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      This is a hugely concentrated and powerful blend of 50% Cabernet Franc with 25% Merlot, 23% Cabernet Sauvignon and 2% Petit Verdot. Fresh and dried tobacco leaf, tomato and black pepper season a richness of plum and cassis, inspired by Bordeaux's Right Bank. Enjoy best from 2028 through 2035.                      Virginie Boone ",High Fidelity,Cliff Lede 2018 High Fidelity Red (Napa Valley),$95, California,94, Napa,Napa Valley,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2018,Cliff Lede
2,15.4%,"Templeton Gap District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Loads of vibrantly spiced licorice and gingerbread aromas soak into the berry-jam tones on the nose of this blend of 75% Cabernet Sauvignon and 25% Malbec. It's rich and lavish on the palate, where layers of baked black currant, vanilla and caramel cream are balanced by decent acidity and firm tannins.                      Matt Kettmann ",Caliber,ONX 2018 Caliber Red (Templeton Gap District),$65, California,94, Central Coast,Templeton Gap District,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2018,ONX
3,15.5%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Creamy aromas of blueberry, cassis, caramel and fudge meet with floral hints of violet and a subtle savoriness the nose of this blend of 85% Cabernet Sauvignon, 10% Cabernet Franc and 5% Petit Verdot. It's suave and lavish on the palate, loaded with jammy black-fruit, caramel and chocolate-mousse flavors, with a touch of espresso bean providing balance on the finish.                      Matt Kettmann ",Relevant,Crown Point 2018 Relevant Red (Happy Canyon of Santa Barbara),$90, California,94, Central Coast,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2018,Crown Point
4,15.3%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Savory aromas of charred meat and black olive pick up a fruit aspect with scorched blueberry on the nose of this blend of 51% Merlot, 19% Cabernet Sauvignon, 14% Petite Sirah, 13% Petit Verdot and 3% Malbec. The roasted meat and fruit flavors hang on for the palate, where soy, pepper sauce and braised beef shank elements also show.                      Matt Kettmann ",Strayts,Jada Vineyard & Winery 2017 Strayts Red (Paso Robles Willow Creek District),$65, California,93, Central Coast,Paso Robles Willow Creek District,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2017,Jada Vineyard & Winery
5,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      Livermore Valley-based winemaker Collin Cranor has named this wine in homage to his pivot north to make wines from both Sonoma County and the Napa Valley. This Cabernet Sauvignon-based wine contains small amounts of Merlot and Cabernet Franc, blending it into a soft, supple and brightly rich and rounded expression of black cherry, toasted oak and baking spice.                      Virginie Boone ",The Pivot Micro-Lot Reserve,Nottingham Cellars 2019 The Pivot Micro-Lot Reserve Red (Napa Valley),$90, California,92, Napa,Napa Valley,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2019,Nottingham Cellars
6,14.4%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Clean lines of black cherry, root beer and cola make for an accessible blend of spice and fruit on the nose of this blend of 37% Cabernet Sauvignon, 36% Malbec and 27% Petit Verdot. The smooth integration carries into the sip, where morello cherry, dark-cocoa nibs and violet flavors coalesce.                      Matt Kettmann ",,Ragtag 2017 Meritage (Paso Robles),$48, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],"Meritage, Bordeaux-style Red Blend",2017,Ragtag
7,13.6%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Tart elderberry aromas are sprinkled with damp herbs and crumpled purple flowers on the nose of this blend of 80% Cabernet Franc, 16% Merlot and 4% Petit Verdot. There is a rich, black-fruit core on the palate, but the herbal kicks of thyme, dried mint and peppercorn add elegance, while the milk-chocolate finish completes the lush wave.                      Matt Kettmann ",Deep State,Cloak & Dagger 2018 Deep State Red (Paso Robles),$49, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2018,Cloak & Dagger
8,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      Muscular in dark cherry-cola and brown-sugar richness, this blend of 64% Cabernet Sauvignon with 20% Merlot, 10% Malbec and 6% Petit Verdot offers sultry intensity and verve. Toasted oak, tobacco and clove provide contrast and earthy complexity.                      Virginie Boone ",Tartan,Stewart 2018 Tartan Red (Napa Valley),$45, California,92, Napa,Napa Valley,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2018,Stewart
9,14.1%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      From a blend of 72% Cabernet Sauvignon and 28% Malbec, this blend spends time aging in both French and American oak. Flavors of mixed currants, earth and sage highlight a seamless palate that is both savory and fruity in spades.                      Virginie Boone ",Field Trip Cadden Family Vineyard,Toybox Wine Cellars 2017 Field Trip Cadden Family Vineyard Red (Napa Valley),$50, California,92, Napa,Napa Valley,Not rated yet [Add Your Review],Bordeaux-style Red Blend,2017,Toybox Wine Cellars
