,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Chinon, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      Vines from a single four-acre parcel that are between 80 and 100 years in age make up this wood-aged wine. These old vines add to the dense structure and richness of the black fruits. This wine is full of promise and aging potential. Drink from 2023.                      Roger Voss ",Les Cornuelles,Domaine de la Haute Olive 2018 Les Cornuelles  (Chinon),$30, Loire Valley,94,Chinon,,Not rated yet [Add Your Review],Cabernet Franc,2018,Domaine de la Haute Olive
1,13%,"Chinon, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      This producer based just east of the city of Chinon has made a rich wine. Packed with dark fruits and youthful vitality, the wine is dense and perfumed. The texture and acidity go with the bold fruits to give a wine for aging. Drink from 2023.                      Roger Voss ",Thélème,Pascal & Alain Lorieux 2019 Thélème  (Chinon),$55, Loire Valley,94,Chinon,,Not rated yet [Add Your Review],Cabernet Franc,2019,Pascal & Alain Lorieux
2,15%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of graphite, cedar and cassis lead the nose on this 100% Cabernet Franc, along with whiffs of dark spice. Enveloping and generous, the full-bodied, concentrated palate also shows finesse, offering baked plum, blackberry jam and mocha framed in tightly knit, velvety tannins. Drink 2023–2030.                      Kerin O’Keefe ",Campo Magnacosta,Tenuta di Trinoro 2018 Campo Magnacosta Cabernet Franc (Toscana),$110, Tuscany,94,Toscana,,Not rated yet [Add Your Review],Cabernet Franc,2018,Tenuta di Trinoro
3,13%,"California, California Other, California, US",750 ml,Red, US,7/1/2021,"
                      This is Cab Franc at its zestiest, laden with pyrazine-powered aromas of green peppercorn and pasilla chile atop the snappy red fruit of underripe raspberry. The texture is tremendously taut, gripping the earthy and herbal flavors of moss, bay leaf and pine needle while the cran-raspberry-juice core keeps on refreshing.                      Matt Kettmann ",,Halcyon 2019 Cabernet Franc (California),$26, California,93, California Other,California,Not rated yet [Add Your Review],Cabernet Franc,2019,Halcyon
4,13%,"Chinon, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      The Sourdais family is well established in Chinon and the seventh generation now works at this estate. From specific parcels of old vines, this wine is textured, dense and concentrated. Its rich structure is balanced by black fruits and an edge of acidity. Drink from 2023.                      Roger Voss ",Les Clos,Domaine de la Haute Olive 2019 Les Clos  (Chinon),$23, Loire Valley,93,Chinon,,Not rated yet [Add Your Review],Cabernet Franc,2019,Domaine de la Haute Olive
5,14.5%,"Chinon, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      This single-vineyard wine is well textured, complex and spicy from wood aging. Layers of black fruits, rich tannins and perfumes have knit together into a dense, concentrated wine that's ready to drink from 2022.                      Roger Voss ",Clos de l'Echo,Couly-Dutheil 2017 Clos de l'Echo  (Chinon),$40, Loire Valley,93,Chinon,,Not rated yet [Add Your Review],Cabernet Franc,2017,Couly-Dutheil
6,16%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Camphor, graphite, leather and grilled herb aromas mingle with a whiff of blue flowers. Made entirely with Cabernet Franc, the bold, concentrated palate offers mouthfuls of raspberry jam, espresso, molten chocolate and licorice framed in enveloping tannins. While it carries its high alcohol content well, the 16% abv catches up with you.                      Kerin O’Keefe ",Campo Tenaglia,Tenuta di Trinoro 2018 Campo Tenaglia Cabernet Franc (Toscana),$110, Tuscany,93,Toscana,,Not rated yet [Add Your Review],Cabernet Franc,2018,Tenuta di Trinoro
7,13.6%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,7/1/2021,"
                      Pure varietal, aged in one-quarter new French oak, and given extra bottle age prior to release, this is softer and smoother than younger vintages of this grape, to its benefit. Ripe plum and cherry fruit is swathed in svelte tannins and accented with scents and highlights of cocoa and coffee. There's a teasing whiff of tobacco threading through the finish.                      Paul Gregutt ",,Quady North 2015 Cabernet Franc (Applegate Valley),$35, Oregon,93, Southern Oregon,Applegate Valley,Not rated yet [Add Your Review],Cabernet Franc,2015,Quady North
8,13%,"Saint-Nicolas-de-Bourgueil, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      This rich wine is now smooth, with the structure and black-fruit flavors well integrated into a velvet texture. Wood aging shows in the extra ripeness of this wine that is just ready to drink.                      Roger Voss ",Les Coutures,Frédéric Mabileau 2017 Les Coutures  (Saint-Nicolas-de-Bourgueil),$30, Loire Valley,93,Saint-Nicolas-de-Bourgueil,,Not rated yet [Add Your Review],Cabernet Franc,2017,Frédéric Mabileau
9,12.5%,"Bourgueil, Loire Valley, France",750 ml,Red, France,7/1/2021,"
                      This wood-aged wine is still firm, its tannins and structure still developing. It comes from old vines planted on the slope above the village of Saint-Nicolas. The textured wine will be richly ready to drink from 2022.                      Roger Voss ",Les Racines,Frédéric Mabileau 2017 Les Racines Cabernet Franc (Bourgueil),$29, Loire Valley,93,Bourgueil,,Not rated yet [Add Your Review],Cabernet Franc,2017,Frédéric Mabileau
