,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.9%,"Stags Leap District, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      This blend of Merlot, Petit Verdot and Cabernet Franc comes from the proprietor's Cliff Lede Vineyard. Structured, richly layered and dense, it is seamless, focused and full of intense tension, with notes of currant, raspberry, rose and violet. Drink 2028–2038.                      Virginie Boone ",Poetry,Cliff Lede 2018 Poetry Cabernet Sauvignon (Stags Leap District),$310, California,98, Napa,Stags Leap District,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Cliff Lede
1,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      An initially muted floral tone develops into complex and cohesive aromas of iron, cigar and currant. Textured and lifted, it shows plenty of structure and graceful power that will do well to let settle further. Enjoy from 2028–2033.                      Virginie Boone ",Nomad Beckstoffer Las Piedras Vineyard,Stewart 2018 Nomad Beckstoffer Las Piedras Vineyard Cabernet Sauvignon (Napa Valley),$175, California,98, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Stewart
2,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      From an amazingly warm, rocky site, this wine swarms in velvety baked fruit and youthful grip. It shows complex layers of crushed rock, iron and earth. The exuberantly vibrant yet rich core weaves together notes of cocoa powder, currant, black pepper and tobacco. Drink 2028–2033.                      Virginie Boone ",Nomad Beckstoffer Dr. Crane Vineyard,Stewart 2018 Nomad Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon (Napa Valley),$175, California,97, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Stewart
3,14.4%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      The famous site helps to impart classical earthiness and herbal intensity to this wine, offering notes of crushed rock, iron, cedar and compost. Hugely structured and powerfully built, it shows an array of rich black fruit, oak and tannin, begging for time. Enjoy best from 2028–2038.                      Virginie Boone ",Beckstoffer To Kalon Vineyard,Cliff Lede 2018 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),$195, California,96, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Cliff Lede
4,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      Chocolate-covered-blueberry flavors come to the fore of this tremendously impressive, delicious and complex wine, muscularly built with substantial tannin and structure. Accents of cigar box, clove and dried herb give it a varietal flourish that adds intrigue and contrast, balancing the richness with elegance. Enjoy best from 2028–2033.                      Virginie Boone ",Nomad Beckstoffer Bourn Vineyard,Stewart 2018 Nomad Beckstoffer Bourn Vineyard Cabernet Sauvignon (Napa Valley),$175, California,96, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Stewart
5,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      This is a broad and lushly rich wine from the great site, with soft, rounded edges that give it appeal and accessibility across the refined palate. Firm, integrated tannins provide structure with ease, boosting well-defined flavors of black cherry, waxy plum and cedar.                      Virginie Boone ",Nomad Beckstoffer Georges III Vineyard,Stewart 2018 Nomad Beckstoffer Georges III Vineyard Cabernet Sauvignon (Napa Valley),$175, California,96, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Stewart
6,14.9%,"Calistoga, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      From an estate site near the top of the Napa Valley, this wine is rich, lengthy and supple in black cherry, cassis and well-integrated oak and tannin. Lushly rich, it offers complexity and structure within that context, finishing in a taste of crushed rock, tobacco and black pepper. It should age well; enjoy best from 2028–2033.                      Virginie Boone ",Bone Ash Vineyard,Venge 2018 Bone Ash Vineyard Cabernet Sauvignon (Calistoga),$115, California,96, Napa,Calistoga,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Venge
7,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      Cedar, earth and sage define the beginning of this grippy, powerful wine that exudes all the elegance and intensity of the site. Black cherry, black licorice and textured tannins balance the savory earthiness and edge. This will do well with more aging; enjoy from 2028–2033.                      Virginie Boone ",Nomad Beckstoffer To Kalon Vineyard,Stewart 2018 Nomad Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),$175, California,96, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Stewart
8,14.7%,"Adelaida District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Very dark in the glass, this showers the nose with complex aromas of dark cocoa, black olive, peppercorn, tar, espresso and mint. There's a creamy and focused cassis kick to the sip, but it's the slightly bitter coffee and charred earth aspects that are most compelling.                      Matt Kettmann ",,Pius 2018 Cabernet Sauvignon (Adelaida District),$90, California,95, Central Coast,Adelaida District,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Pius
9,14.3%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      This is a blockbuster of a wine, especially at the price, opening in violet aromas and moderate grip. Beautiful black- and red-cherry, currant and baking-spice elements combine around a core of classic elegance and length, finishing in cigar box. The fruit is from four estate sites. Consider buying caseloads.                      Virginie Boone ",,Turnbull 2018 Cabernet Sauvignon (Napa Valley),$50, California,95, Napa,Napa Valley,Not rated yet [Add Your Review],Cabernet Sauvignon,2018,Turnbull
