,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.5%,"Carneros, Napa-Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      This is a stunner from blocks planted in 1997 and 1999. Beautiful aromas of toasted hazelnut and stone lead to a palate that shows undeniable minerality paired with lasting acidity. It shows freshness and energy throughout. Drink 2026–2032.                      Virginie Boone ",Hyde Vineyard,Ramey 2018 Hyde Vineyard Chardonnay (Carneros),$70, California,100, Napa-Sonoma,Carneros,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
1,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      This wine is a testament to an outstanding site in the hands of an outstanding producer. It is a celebration of fresh Meyer lemon and Gravenstein apple woven against an elegant structure and quenching acidity.                      Virginie Boone ",Rochioli Vineyard,Ramey 2018 Rochioli Vineyard Chardonnay (Russian River Valley),$70, California,100, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
2,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      Quenchingly fresh, complex and structured, this wine balances lushness and rounded edges of richness with vibrant acidity and length. From the producer's own 75-acre ranch, this vintage comes from a block planted in 1989. Gravenstein apple, pear and a note of nutmeg accent a stony texture of graceful tension.                      Virginie Boone ",Westside Farms Estate,Ramey 2018 Westside Farms Estate Chardonnay (Russian River Valley),$70, California,98, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
3,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      From older plantings on a wide-spaced site—one the producer has worked with for some time—this wine is complicated and wild, combining rich, elegant flavors of salty sea breeze with ginger and lemon puree. Seamless and supple, it has a backbone of structure and lively acidity that pair effortlessly with the apple and pear.                      Virginie Boone ",Ritchie Vineyard,Ramey 2018 Ritchie Vineyard Chardonnay (Russian River Valley),$70, California,98, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
4,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      From a site in the heart of the appellation farmed by the Martinelli family, from cuttings that can be traced back to Hyde Vineyard, this white dazzles in salty sea air, oyster shell and hay, with subdued richness and layers of Gravenstein apple and pear. The acidity drives it into a fresh array of tension and texture.                      Virginie Boone ",Woolsey Road Vineyard,Ramey 2018 Woolsey Road Vineyard Chardonnay (Russian River Valley),$70, California,95, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
5,14.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      An incredible showcase for the appellation, this combines grapes from the producer's estate Westside Farms with Dutton, Woolsey Road and Rochioli Allen, among others. Together it is broadly floral, earthy and richly integrated, with depth and complexity, the acidity vibrantly fresh.                      Virginie Boone ",,Ramey 2018 Chardonnay (Russian River Valley),$42, California,95, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Chardonnay,2018,Ramey
6,13.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,7/1/2021,"
                      Scrumptious pretty much sums it up. This rare reserve—the winery's first since 1999—honors its 30th vintage. Plush malolactic and new barrel flavors abound: buttered popcorn, brioche, apple pie and lemon custard in a big pile. It's smooth and rich and nicely balanced, though more for near-term drinking than long-term aging.                      Paul Gregutt ",Reserve,Argyle 2017 Reserve Chardonnay (Willamette Valley),$35, Oregon,94, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Chardonnay,2017,Argyle
7,13.8%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White, US,7/1/2021,"
                      Deeply extracted flavors of Meyer lemon, apple and peach are cloaked in lighter touches of new oak. Some 20% of the barrels were new, and the wine spent about a year and a half aging prior to bottling in March 2020. The wine soaks in deliciously, completely coating the palate and lingering down and through an extended finish with hints of butter and roasted peanuts.                      Paul Gregutt ",Elton Vineyard,Lavinea 2018 Elton Vineyard Chardonnay (Eola-Amity Hills),$60, Oregon,94, Willamette Valley,Eola-Amity Hills,Not rated yet [Add Your Review],Chardonnay,2018,Lavinea
8,13%,"Chassagne-Montrachet, Burgundy, France",750 ml,White, France,7/1/2021,"
                      On the slope south of the village of Chassagne-Montrachet, this vineyard is in the heart of the line of premier crus. This wine is textured, shot through with minerality and ripe fruits. Toast and spice give extra richness and soften the still-young acidity. The wine is still maturing, so wait to drink until 2023.                      Roger Voss ",Les Fairendes Premier Cru,Domaine Coffinet-Duvernay 2018 Les Fairendes Premier Cru  (Chassagne-Montrachet),$134, Burgundy,94,Chassagne-Montrachet,,Not rated yet [Add Your Review],Chardonnay,2018,Domaine Coffinet-Duvernay
9,12.5%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      Wet stone, damp earth and woolly aromas are lifted by lemon pith on the intriguing, minerali-driven nose of this single-vineyard expression. The palate is framed by a fantastically tense structure, presenting crisp, bright and stony flavors of rainy cement, yuzu peel and grapefruit pith.                      Matt Kettmann ",Toyon Vineyard,Madson 2019 Toyon Vineyard Chardonnay (Santa Cruz Mountains),$40, California,94, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Chardonnay,2019,Madson
10,13%,"Chablis, Burgundy, France",750 ml,White, France,7/1/2021,"
                      From arguably the grandest of the Chablis Grand Crus, this wine has dense richness, pure white fruits and the lightest touches of wood aging. The wine is well balanced, with fruitiness that contrasts with the mineral, tight texture. Age this wine and drink from 2024.                      Roger Voss ",Les Clos Grand Cru,Defaix Frères 2019 Les Clos Grand Cru  (Chablis),$130, Burgundy,94,Chablis,,Not rated yet [Add Your Review],Chardonnay,2019,Defaix Frères
11,13.3%,"Chehalem Mountains, Willamette Valley, Oregon, US",750 ml,White, US,7/1/2021,"
                      This is a very fine effort—detailed, balanced and powerful. The fruit mix artfully conjures up ripe pear, peach, apricot and papaya, lightly spiced. The wine gains weight and length through the palate, adding a wash of nut butter during a long, lush fade.                      Paul Gregutt ",Jacob-Hart Estate Vineyard,Rex Hill 2017 Jacob-Hart Estate Vineyard Chardonnay (Chehalem Mountains),$60, Oregon,94, Willamette Valley,Chehalem Mountains,Not rated yet [Add Your Review],Chardonnay,2017,Rex Hill
12,13%,"Chablis, Burgundy, France",750 ml,White, France,7/1/2021,"
                      This is a concentrated and rich wine. With dense white-fruit flavors encased in spice and vanilla, the wine is ripe and sure to age well. It is very young and will take its time. Drink from 2024.                      Roger Voss ",Bougros Grand Cru,Defaix Frères 2019 Bougros Grand Cru  (Chablis),$120, Burgundy,94,Chablis,,Not rated yet [Add Your Review],Chardonnay,2019,Defaix Frères
13,14.1%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      Tightly wound aromas of lemon peel, citrus blossom, pomelo pith and nectarine make for a tense and engaging nose in this bottling. Fierce mineral streaks of crushed sea shell and rocks overcome the palate, where flashes of apple flesh and jicama also arise.                      Matt Kettmann ",Sierra Madre Vineyard,Tread 2019 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),$40, California,94, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Chardonnay,2019,Tread
14,12.3%,"Sonoma Coast, Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      This delightfully memorable wine is crisp, floral and herbal, a gorgeously structured and complex expression of lengthy acidity, lemon zest and green apple. From a great cool-climate site, it captures the crisp air and ocean influence with ease.                      Virginie Boone ",H. Klopp Vineyard,Reeve 2018 H. Klopp Vineyard Chardonnay (Sonoma Coast),$68, California,94, Sonoma,Sonoma Coast,Not rated yet [Add Your Review],Chardonnay,2018,Reeve
