,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.4%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,7/1/2021,"
                      In this superfragrant and forward wine, wonderful rose-petal and lychee-fruit aromas are well-matched by rich, floral and fruity flavors like Anjou pear and pink grapefruit. It is dry, rather full bodied, very smooth and mouthfilling in texture.                      Jim Gordon ",Dry,Fulcrum 2019 Dry Gewurztraminer (Anderson Valley),$32, California,93, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],"Gewürztraminer, Gewürztraminer",2019,Fulcrum
1,13.3%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,7/1/2021,"
                      The sultry, dense nose offers aromas of rose, white peach, lychee and white pepper, making for a classic Gewürztraminer profile. It's rounded and silken in feel on the palate, yet well-balanced and lifted by flecks of spice and tangerine acidity. A potpourri note extends on the finish.                      Alexander Peartree ",,Thirsty Owl Wine Company 2019 Gewürztraminer (Finger Lakes),$19, New York,91, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Gewürztraminer,2019,Thirsty Owl Wine Company
2,12.7%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,7/1/2021,"
                      Hallmark aromas of lychee, ginger and jasmine make for a classic Gewürz profile on the nose. It's rounded and ripe on the palate yet honed by a pleasantly pithy texture. Juicy lychee and peach flavors are studded with rose and dried floral spice, making this a balanced yet fully fleshed out offering.                      Alexander Peartree ",,Keuka Spring 2019 Gewürztraminer (Finger Lakes),$18, New York,91, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Gewürztraminer,2019,Keuka Spring
3,12.5%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,7/1/2021,"
                      Blossomy aromas of jasmine and tuberose meld with melon and spice in this boisterous wine. There's good texture and grip to the rounded palate, with pithy pomelo and grapefruit flavors fleshed out by melon and blossom accents. It ends with a zippy zing of citrus.                      Alexander Peartree ",,Hickory Hollow 2018 Gewürztraminer (Finger Lakes),$18, New York,90, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Gewürztraminer,2018,Hickory Hollow
4,12.5%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,7/1/2021,"
                      Boisterous aromas of canned peach, jasmine and potpourri echo on the rounded, sultry palate. A core of lychee and peach is studded with plenty of ginger spice, with orangy acidity lifting it all up.                      Alexander Peartree ",,Weis 2019 Gewürztraminer (Finger Lakes),$19, New York,90, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Gewürztraminer,2019,Weis
5,12.5%,"Columbia Gorge (WA), Washington Other, Washington, US",750 ml,White, US,5/1/2021,"
                      The aromas leap up with notes of lychee, pink grapefruit and ginger. The palate is richly flavored, showing nuance and detail. Cloudy with a light gold tinge, it drinks bone-dry, thoroughly delightful, with spot-on balance. The cleansing finish kicks it up a notch.                      Sean P. Sullivan ",Orange Oak Ridge Vineyard,Savage Grace 2019 Orange Oak Ridge Vineyard Gewürztraminer (Columbia Gorge (WA)),$30, Washington,92, Washington Other,Columbia Gorge (WA),Not rated yet [Add Your Review],Gewürztraminer,2019,Savage Grace
6,13.4%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,5/1/2021,"
                      Luscious and floral, this full-bodied and slightly sweet wine is beautifully aromatic, offering rose-petal and lychee scents that lead to ripe Anjou pear flavors. Fermented and aged in oval oak vats for eight months, it develops a mouthcoating texture followed by a lingering finish.                      Jim Gordon ",Deep End,Navarro 2019 Deep End Gewürztraminer (Anderson Valley),$29, California,92, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Gewürztraminer,2019,Navarro
7,13.2%,"Red Mountain, Columbia Valley, Washington, US",750 ml,White, US,5/1/2021,"
                      Red Mountain is best known for its power-packed reds. This orange wine comes from 1978 plantings. The aromas jump out of the glass, with notes of lychee, ginger, flower and wet rock. Full-bodied, perfumed flavors follow. It carries, with bitters on the finish.                      Sean P. Sullivan ",,Liberty Lake 2019 Gewürztraminer (Red Mountain),$18, Washington,90, Columbia Valley,Red Mountain,Not rated yet [Add Your Review],Gewürztraminer,2019,Liberty Lake
8,13.1%,"Anderson Valley, Mendocino County, California, US",750 ml,White, US,5/1/2021,"
                      This high-quality, refreshing, dry wine balances exuberant peach and lychee flavors with vivid acidity and medium body for an appetizing, palate-cleansing effect.                      Jim Gordon ",Dry Estate Bottled,Navarro 2019 Dry Estate Bottled Gewürztraminer (Anderson Valley),$24, California,89, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Gewürztraminer,2019,Navarro
9,12.9%,"Snipes Mountain, Columbia Valley, Washington, US",750 ml,White, US,5/1/2021,"
                      The aromas of lychee, rose petal and ginger leap up from the glass. Smooth, almost thick feeling off-dry flavors follow. It wants a bit more acidity to offset the sugar, but there are still a lot of good things happening.                      Sean P. Sullivan ",Ramos Vineyard,Pacific Rim 2018 Ramos Vineyard Gewürztraminer (Snipes Mountain),$15, Washington,88, Columbia Valley,Snipes Mountain,Not rated yet [Add Your Review],Gewürztraminer,2018,Pacific Rim
