,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14%,"Marlborough, New Zealand",750 ml,Red, New Zealand,7/1/2021,"
                      Like others from this producer, the Montepulciano is not shy in the alcohol or oak departments, but offers heaps of character and charm to make up for it. Supple cherry and blueberry fruit is woven with violets, tobacco, bay leaf and licorice. Full bodied, the well structured and textured tannins and lifted acidity nicely temper the plush fruit. Drink now–2029 with a plate of antipasti. A nod towards central Italy with Marlborough at its core.                      Christina Pickard ",Secret of Marlborough,Hans Family Estate 2015 Secret of Marlborough Montepulciano (Marlborough),$52,Marlborough,94,,,Not rated yet [Add Your Review],"Montepulciano, Italian Red",2015,Hans Family Estate
1,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Bright aromas of wild berries, forest floor, baking spice and whiffs of eucalyptus and new leather form the nose. Made from native grape Malvasia Nera, it's fresh and savory, doling out juicy Marasca cherry, blackberry, star anise and a hint of aromatic herbs alongside polished tannins and tangy acidity. Drink through 2026.                      Kerin O’Keefe ",Camboi,Castello di Meleto 2018 Camboi Malvasia Nera (Toscana),$40, Tuscany,92,Toscana,,Not rated yet [Add Your Review],"Malvasia Nera, Italian Red",2018,Castello di Meleto
2,13.5%,"Aglianico del Vulture Superiore, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      An earthy, refined nose of condensed red cherry, cranberry, violet and truffle starts off this Aglianico sourced from the Piano di Croce vineyard in Barile. There's a real sense of elegance on the palate, where lifted elements of violet and crushed stone bring power and poise to the rich berry fruit. It's an unforced expression that gives a real sense of place. Drink through 2030.                      Alexander Peartree ",Cruà,Basilisco 2016 Cruà  (Aglianico del Vulture Superiore),N/A, Southern Italy,94,Aglianico del Vulture Superiore,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Basilisco
3,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,5/1/2021,"
                      Made in tiny amounts from the historic site still farmed by the Tofanelli family, this wine offers plum, blueberry, leather and old-vine complexity—the tannins grippy but elongated and eventually supple. It has fresh, lively acidity that keeps if crisp and inviting throughout.                      Virginie Boone ",Tofanelli Vineyard,Matt Morris 2018 Tofanelli Vineyard Charbono (Napa Valley),$85, California,94, Napa,Napa Valley,Not rated yet [Add Your Review],"Charbono, Italian Red",2018,Matt Morris
4,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,5/1/2021,"
                      From grower Peter Heitz and winemaker Françoise Peschon, this rare breed is plummy and rich in dark chocolate. Soft on the palate, it dashes through highlights of dusty sage, cranberry and Christmas spice before finding its foundation of vibrant structure on the finish.                      Virginie Boone ",Shypoke Vineyard,Matt Morris 2018 Shypoke Vineyard Charbono (Napa Valley),$85, California,94, Napa,Napa Valley,Not rated yet [Add Your Review],"Charbono, Italian Red",2018,Matt Morris
5,14.5%,"Aglianico del Vulture Superiore, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Rich aromas of truffle, violet, plum and cherry are dense on the nose of this red that spent 12 months in half new and half used oak. There's immense polish and verve to the palate, with silken, seductive tannins wrapping around all the luscious berry fruit. Yet with all that, there's still ample lift from fresh acidity, making this a well-balanced, plush red.                      Alexander Peartree ",Serpara,Re Manfredi 2013 Serpara  (Aglianico del Vulture Superiore),$53, Southern Italy,94,Aglianico del Vulture Superiore,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Re Manfredi
6,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Plush aromas of violet, juniper, cherry and bramble berry burst on the nose. Medium in weight, there's a driven, ample feel to the juicy red-cherry and blackberry flavors, with bits of tar and pressed rose arising on the midpalate. Yet, throughout the whole experience, bouncy berry fruit and zesty crushed mineral tones remain constant. There's structure and poise to this wine that makes it enjoyable to drink now, but it will also hold well through 2028.                      Alexander Peartree ",Titolo,Elena Fucci 2018 Titolo  (Aglianico del Vulture),$58, Southern Italy,93,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2018,Elena Fucci
7,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Aromas of condensed red cherry and spiced plum blend with earthy accents of truffle, leather and gravel in this red that sees time in French tonneaux. Sourced from 80-year-old vines, it's a dense, rich expression that shows taut cherry and blackberry flavors peppered with earthy, savory spices. A driving mineral tone gives energy to it all, with polished tannins lending an accessible feel. Drink now–2025.                      Alexander Peartree ",Pian del Moro,Musto Carmelitano 2013 Pian del Moro  (Aglianico del Vulture),$28, Southern Italy,93,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Musto Carmelitano
8,13.5%,"Aglianico del Vulture Superiore, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Sourced from a vineyard over sixty years old in the village of Ginestra, this red offers a perfumed nose of cinnamon, clove and brandy-dipped cherries. There polish and poise to the medium-bodied palate, as the juicy mix of berries melds with a zesty crushed mineral core. That mineral note brings immense lift and length to it all. Velvety tannins give it an approachable vibe in the near term, but this should hold well through 2030.                      Alexander Peartree ",Daginestra,Grifalco 2015 Daginestra  (Aglianico del Vulture Superiore),$32, Southern Italy,93,Aglianico del Vulture Superiore,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Grifalco
9,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Enveloping aromas of cherry coulis, pomegranate molasses, anise seed and blood orange carry over to the rich yet deftly balanced palate. There's intense energy to the coiled red-berry flavors, with a mineral zip propelling it along while polished tannins firmly wrap it all up. Drink now–2030.                      Alexander Peartree ",Don Anselmo,Paternoster 2016 Don Anselmo  (Aglianico del Vulture),$70, Southern Italy,93,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Paternoster
10,13.5%,"Aglianico del Vulture Superiore, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Sourced from the San Martino cru in the village of Maschito, this is a polished, elegant Aglianico from vines over sixty years old. Aromas of brandy-dipped cherry, rooibos, vanilla and violet perfume the nose and extend to the juicy yet taut palate. There's plushness to the tannins that makes this accessible in the near term, but it should hold well through 2030.                      Alexander Peartree ",Damaschito,Grifalco 2015 Damaschito  (Aglianico del Vulture Superiore),$30, Southern Italy,92,Aglianico del Vulture Superiore,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Grifalco
11,13.5%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      There's ample richness to the wild-blueberry and red-cherry aromas on the nose, with violet and truffle chiming in. It's polished and plump in feel yet honed by juicy acidity and a mesh of fine tannins. This shows accessibility in spades but also a good amount of drive; drink now through 2025.                      Alexander Peartree ",,Macarico 2017  Aglianico del Vulture,$30, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2017,Macarico
12,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      A delightful mix of crushed rock, red berries, pink peppercorn and violet drive the nose. There's polish to the palate, where coiled red-berry fruit is propelled along an immensely tangy river of crushed stones. It's a stripped back expression of the variety that shows elegance and power in tandem. Drink through 2030.                      Alexander Peartree ",Titolo,Elena Fucci 2016 Titolo  (Aglianico del Vulture),$45, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Elena Fucci
13,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Rich aromas of anise, cola and cigar box combine into the dense brandy-soaked cherry on the nose. It's creamy and full on the palate, with luscious berry fruit wrapped in warm, toasty spices. There's a polish to it all, with racing acidity driving it along. Drink through 2030.                      Alexander Peartree ",Rotondo,Paternoster 2017 Rotondo  (Aglianico del Vulture),$53, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2017,Paternoster
14,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Initially reserved on the nose, with time in the glass this amphora-aged wine opens up to reveal aromas of dark mixed berries, crushed rock, violet and Mediterranean scrub. There's richness to dark fruit on the palate, with a pulsing mineral tone driving throughout. It's coiled and brooding currently, built by a strong framing of tannins that need time to settle. Drink 2023–2033.                      Alexander Peartree ",Titolo by Amphora,Elena Fucci 2017 Titolo by Amphora  (Aglianico del Vulture),$92, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2017,Elena Fucci
15,13.5%,"Basilicata, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Aromas of dried cranberry, pomegranate, rose and violet meld with an earthy truffle note on the nose. It's polished and poised on the palate, with a savory crushed-stone element propelling along coiled red-berry flavors. It's a lifted, elegant Aglianico to enjoy now until 2030.                      Alexander Peartree ",Canneto,D'Angelo 2017 Canneto Aglianico (Basilicata),$32, Southern Italy,92,Basilicata,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2017,D'Angelo
16,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Rich aromas of bacon fat, toasted anise and dark cocoa powder ride on the dense dark-berry fruit on the nose. It's full and creamy on the palate, with concentrated black-cherry and blueberry flavors wrapped in warm, toasty spices. There's immense lift from the driving acidity and a delightful polish from suave tannins. Drink now–2028.                      Alexander Peartree ",Piano del Cerro,Vigneti del Vulture 2016 Piano del Cerro  (Aglianico del Vulture),$34, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Vigneti del Vulture
17,14%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Aromas of spiced bramble berries, violet and slightly singed resinous herbs carry the nose and echo on the palate. Juicy fruit fills it all out, with a slick of granite lending a zesty mineral twang. There's real drive and energy to it all, with cherry skins lingering on the close. Drink through 2030.                      Alexander Peartree ",Titolo,Elena Fucci 2017 Titolo  (Aglianico del Vulture),$45, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2017,Elena Fucci
18,13.5%,"Aglianico del Vulture Superiore, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      Aromas of ripe red cherry and pomegranate meld with violet and crushed rock in this accessible yet well structured Aglianico. There's a gentle creaminess to the palate, with taut berry fruit drawing it out and a fine mesh of tannins reining it in. It's a supple expression of the variety that still show the energy and drive typical of Vulture. Drink now–2028.                      Alexander Peartree ",Fontanelle,Basilisco 2016 Fontanelle  (Aglianico del Vulture Superiore),N/A, Southern Italy,92,Aglianico del Vulture Superiore,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Basilisco
19,13.5%,"Aglianico del Vulture, Southern Italy, Italy",750 ml,Red, Italy,5/1/2021,"
                      There's an earthy, wild edge on the nose of this wine, showing spicy bramble berries, truffle, violet and crushed pink peppercorn. The palate is silken and velvety in feel, filled out by juicy cherry and blackberry flavors and accented by delightful earthy tones. There's a gentle rustic nature to it all, but pleasingly so.                      Alexander Peartree ",Tecum,D'Angelo 2013 Tecum  (Aglianico del Vulture),$50, Southern Italy,92,Aglianico del Vulture,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,D'Angelo
