,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.8%,"El Dorado, Sierra Foothills, California, US",750 ml,White, US,7/1/2021,"
                      This complex and mineral-laden wine offers tempting scents of chalk, lime and flint that lead to a refreshing and dry palate that carries citrus and crisp apple notes. Bright, nervy acidity gives a mouthwatering balance.                      Jim Gordon ",Estate Grown,Starfield 2019 Estate Grown Vermentino (El Dorado),$28, California,92, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],"Vermentino, Italian White",2019,Starfield
1,13.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,7/1/2021,"
                      Fragrant and savory, this opens with aromas of ripe yellow stone fruit, white spring flowers and citrus. Reflecting the nose, the tangy palate doles out juicy apricot, yellow peach, ginger and grapefruit before a bitter almond close. Crisp acidity lifts the rich flavors.                      Kerin O’Keefe ",,Campo alle Comete 2019 Vermentino (Toscana),$25, Tuscany,92,Toscana,,Not rated yet [Add Your Review],"Vermentino, Italian White",2019,Campo alle Comete
2,13%,"Toscana, Tuscany, Italy",750 ml,White, Italy,7/1/2021,"
                      Tangy and enveloping, this savory, medium-bodied white has inviting aromas of Spanish broom and ripe pear with yeasty whiffs of bread dough. On the fresh, succulent palate, notes of fennel and white almond accompany grapefruit and white peach.                      Kerin O’Keefe ",L'Airone,Guado al Melo 2019 L'Airone Vermentino (Toscana),$20, Tuscany,91,Toscana,,Not rated yet [Add Your Review],"Vermentino, Italian White",2019,Guado al Melo
3,13%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of dark-skinned berries, eucalyptus, forest floor and dark spice lead the way on this 100% Ciliegiolo. Made with organically grown grapes, it's savory and immediately enjoyable, offering ripe black cherry, star anise and botanical herbs set against lithe tannins. It's a fantastic value at this price point and will pair with almost anything. Enjoy through 2023.                      Kerin O’Keefe ",Rotulaia,Rascioni e Cecconello 2019 Rotulaia Ciliegiolo (Toscana),$13, Tuscany,90,Toscana,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2019,Rascioni e Cecconello
4,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Made entirely with native grape Ciliegiolo and fermented and aged in concrete, this delightful red has earthy aromas of truffle, leather, botanical herbs and wild berries. The lithe palate offers juicy Marasca cherry, ripe blackberry and ground clove before finishing on a note recalling black tea. Fresh acidity and pliant tannins offer gentle support. It's made to be enjoyed young, so drink soon.                      Kerin O’Keefe ",,Piazzano 2019 Ciliegiolo (Toscana),$14, Tuscany,90,Toscana,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2019,Piazzano
5,13%,"Toscana, Tuscany, Italy",750 ml,White, Italy,7/1/2021,"
                      Aromas of beeswax, cedar and acacia honey follow over to the rounded palate along with yellow apple, citrus and toasted hazelnut. Made with Fiano, it has tangy acidity and savory salinity that keep it energized.                      Kerin O’Keefe ",Otto Muri,Collazzi 2018 Otto Muri Fiano (Toscana),N/A, Tuscany,90,Toscana,,Not rated yet [Add Your Review],"Fiano, Italian White",2018,Collazzi
6,13.5%,"Mediterranée, France Other, France",750 ml,White, France,7/1/2021,"
                      Grapefruit and white-peach flavors are highlighted by zesty streaks of tangerine and lime acidity in this full-bodied, thirst-quenching white. Dry and cut by crystalline minerality, it's a varietal Vermentino with broad appeal best enjoyed young.                      Anna Lee C. Iijima ",Elicio,Bourgeois Family 2018 Elicio Vermentino (Mediterranée),$13, France Other,88,Mediterranée,,Not rated yet [Add Your Review],"Vermentino, Italian White",2018,Bourgeois Family
7,12.3%,"Amador County, Sierra Foothills, California, US",750 ml,White, US,5/1/2021,"
                      Notes of crisp apple and very light herbs highlight this fresh, tangy and spotlessly clean wine. Light body and expressive fruit and white-pepper flavors make it a treat to sip.                      Jim Gordon ",,Bella Grace 2020 Vermentino (Amador County),$28, California,89, Sierra Foothills,Amador County,Not rated yet [Add Your Review],"Vermentino, Italian White",2020,Bella Grace
8,11.8%,"Suisun Valley, North Coast, California, US",750 ml,White, US,5/1/2021,"
                      This bone-dry, restrained and light-bodied wine brings a sense of austerity to the palate due to its lean apple and herb flavors.                      Jim Gordon ",Fifth Moon,RD 2019 Fifth Moon Malvasia Bianca (Suisun Valley),$25, California,86, North Coast,Suisun Valley,Not rated yet [Add Your Review],"Malvasia Bianca, Italian White",2019,RD
9,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,4/1/2021,"
                      Crisp and pristine, this vibrant, focused sparkler has delicate aromas of hawthorn, white stone fruit and citrus. Racy and bone-dry, the savory, gleaming palate delivers juicy Meyer lemon, Anjou pear, saline and a hint of bread dough. Tiny, persistent bubbles provide the elegant backdrop.                      Kerin O’Keefe ",Pas Dosé Riserva Metodo Classico,Dal Maso 2016 Pas Dosé Riserva Metodo Classico  (Lessini Durello),$40, Veneto,94,Lessini Durello,,Not rated yet [Add Your Review],"Durella, Italian White",2016,Dal Maso
10,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,4/1/2021,"
                      Tantalizing aromas of white stone fruit, wet rock and baking spice take shape on this vibrant sparkler. Dry and delicious, the racy, focused palate delivers ripe Bartlett pear, unsweetened lemon drop and mineral notes recalling graphite and saline. It boasts great energy, structure and elegance as well as a crisp, pristine close.                      Kerin O’Keefe ",Extra Brut 36,Sandro de Bruno 2015 Extra Brut 36  (Lessini Durello),$22, Veneto,94,Lessini Durello,,Not rated yet [Add Your Review],"Durella, Italian White",2015,Sandro de Bruno
11,11.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,4/1/2021,"
                      Crisp but also boasting complexity, this energized, precise sparkler has aromas of mature white stone fruit, pressed chamomile flower, dried botanical herb and aniseed. The dry, racy palate features ripe yellow apple, Meyer lemon, saline mineral notes and yeasty hints of brioche alongside vibrant acidity. A refined, persistent perlage further fuels the energy and finesse.                      Kerin O’Keefe ",Roncà Non Dosato Riserva,Fattori 2013 Roncà Non Dosato Riserva  (Lessini Durello),$45, Veneto,94,Lessini Durello,,Not rated yet [Add Your Review],"Durella, Italian White",2013,Fattori
12,N/A,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,4/1/2021,"
                      Citrusy and mineral-driven, this pristine, racy sparkler features aromas of yellow spring flower, white stone fruit and a dollop of honeyed almond. On the dry, energized palate, an elegant, persistent perlage and crisp acidity accompany Golden Delicious apple and Meyer lemon while a mineral vein of saline lends depth to the close. Great focus and finesse.                      Kerin O’Keefe ",Pas Dosé Bio,Fongaro 2014 Pas Dosé Bio  (Lessini Durello),$32, Veneto,94,Lessini Durello,,Not rated yet [Add Your Review],"Durella, Italian White",2014,Fongaro
13,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,4/1/2021,"
                      Racy and focused, this radiant sparkler has enticing aromas of citrus, hazelnut, sage and a whiff of underbrush. The bone-dry, delicious palate has knife-like precision and depth, delivering yellow apple, Meyer lemon, slate mineral notes and hints of white pepper alongside crisp acidity. An extremely refined perlage lends finesse.                      Kerin O’Keefe ",Metodo Classico Dosaggio Zero Riserva,Franchetto 2013 Metodo Classico Dosaggio Zero Riserva  (Lessini Durello),N/A, Veneto,94,Lessini Durello,,Not rated yet [Add Your Review],"Durella, Italian White",2013,Franchetto
