,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      Named after Desiderius, a 7th-century Bishop of Cahors, this wine comes from a selection of three parcels, giving intensity and density. The tannins and the complex black fruits and acidity are just setting out, promising a richly structured wine from 2024.                      Roger Voss ",Didier Pelvillain Desiderius,Vignobles Pelvillain 2018 Didier Pelvillain Desiderius  (Cahors),$50, Southwest France,94,Cahors,,Not rated yet [Add Your Review],Malbec,2018,Vignobles Pelvillain
1,14.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This new brand is making a wide array of wines, and hit on a surprise winner with this single-vineyard Malbec from atop the Cuesta Grade. Dark black-fruit and cocoa aromas are complemented by mushroom and forest-floor scents on the nose. The palate is rich in umami tones, full of black cherry, dried herbs and milk chocolate flavors atop a smooth and creamy tannic profile.                      Matt Kettmann ",Santa Margarita Vineyard,Ragtag 2017 Santa Margarita Vineyard Malbec (Paso Robles),$42, California,93, Central Coast,Paso Robles,Not rated yet [Add Your Review],Malbec,2017,Ragtag
2,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      This wine comes from a 2.5-acre parcel of old vines. The density is impressive, with swathes of dark tannins and fruits only just beginning to soften. At almost five years the wine is still needs some aging. Wait until 2022.                      Roger Voss ",Château du Cénac Eulalie,Vignobles Pelvillain 2018 Château du Cénac Eulalie  (Cahors),$35, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2018,Vignobles Pelvillain
3,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      This is a massive and dense wine. Powerful tannins dominate solidly textured black fruits in a wine that shows concentration from the old-vine Malbec. This is a wine to age for several years, so don't drink before 2024.                      Roger Voss ",La Lande Cavagnac,Domaine de Cause 2018 La Lande Cavagnac  (Cahors),N/A, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2018,Domaine de Cause
4,15.1%,"Los Olivos District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      The nose on this bottling exhibits a pure streak of black currant and blackberry, with purple-flower aromas as well as black soil and rock minerality. There is a solid and chalky tannic tension on the palate, where blackberry-jam flavors are lifted by anise.                      Matt Kettmann ",Family Reserve,Vincent Vineyards 2018 Family Reserve Malbec (Los Olivos District),$40, California,93, Central Coast,Los Olivos District,Not rated yet [Add Your Review],Malbec,2018,Vincent Vineyards
5,13.8%,"La Consulta, Mendoza Province, Argentina",750 ml,Red, Argentina,7/1/2021,"
                      Aromas of savory spices and wild berry fruits introduce a full and ripe palate that's nicely balanced and complex. Finely oaked berry and cassis flavors hold onto their spicy essence, while this integrated Malbec finishes steady and composed. Drink through 2026.                      Michael Schachner ",Reserva,Altocedro 2018 Reserva Malbec (La Consulta),$34, Mendoza Province,93,La Consulta,,Not rated yet [Add Your Review],Malbec,2018,Altocedro
6,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      Perfumed and ripe with generous black fruits, this powerful wine has dark tannins that are still a dominant element. Aged in wood for 10 months, the wine shows great promise and should be ready from 2024.                      Roger Voss ",Latis Grande Réserve,Les Vignobles Saint Didier Parnac 2019 Latis Grande Réserve  (Cahors),$30, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2019,Les Vignobles Saint Didier Parnac
7,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      From the highest plateau of Cahors vineyards, this wine is rich. Dense tannins and rich black-chocolate flavors are intertwined with the wine's solid texture. Power is everywhere, along with the potential for smooth richness. Drink from 2025.                      Roger Voss ",Prieuré de Cénac,Les Vignobles Saint Didier Parnac 2019 Prieuré de Cénac  (Cahors),$32, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2019,Les Vignobles Saint Didier Parnac
8,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      The 50-year-old vines of this vineyard give great richness and density to the wine. Lusciously textured with layers of black plum and berry fruits, with spice from wood aging and considerable potential, the wine should be ready to drink from 2024.                      Roger Voss ",Château du Cénac Grande Réserve,Vignobles Pelvillain 2018 Château du Cénac Grande Réserve  (Cahors),$27, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2018,Vignobles Pelvillain
9,15%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      This is a lush, smoothly textured wine. Fine, elegant tannins support black fruits that are still full of life. The wine has softened from its initial tannins and spice from the new-wood aging. Drink this powerful, beautifully structured wine now.                      Roger Voss ",Lou Prince,Domaine du Prince 2015 Lou Prince  (Cahors),$46, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2015,Domaine du Prince
10,14.5%,"Cahors, Southwest France, France",750 ml,Red, France,7/1/2021,"
                      Ripe, rich and generously textured, this wine has a spicy vanilla character from wood aging. Along with the massive black fruits and opulent structure, that will give the wine density as it ages. Drink from 2024.                      Roger Voss ",Château du Perry,Les Vignobles Saint Didier Parnac 2019 Château du Perry  (Cahors),$32, Southwest France,93,Cahors,,Not rated yet [Add Your Review],Malbec,2019,Les Vignobles Saint Didier Parnac
11,13.5%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This is a savory and stony take on Malbec, as the crushed gravel aromas wrap around the dark-red fruit and light wood qualities of the nose. There are deeper blackberry and black-plum flavors to the sip, when that rocky quality returns so does the savory, damp wood element.                      Matt Kettmann ",Black Ridge Vineyard,Assiduous 2018 Black Ridge Vineyard Malbec (Santa Cruz Mountains),$30, California,92, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Malbec,2018,Assiduous
12,14%,"Luján de Cuyo, Mendoza Province, Argentina",750 ml,Red, Argentina,7/1/2021,"
                      Blueberry, cardamom and floral aromas are distinct on the nose and offer much more complexity than the average value-priced Argentine Malbec. A solidly built palate is balanced by juicy acidity, while this tastes of snappy currant and plum along with desert herbs. A fresh, popping finish lasts a while due to bright acidity. Drink through 2023.                      Michael Schachner ",Made with Organic Grapes Estate Bottled,Inkarri 2019 Made with Organic Grapes Estate Bottled Malbec (Luján de Cuyo),$15, Mendoza Province,92,Luján de Cuyo,,Not rated yet [Add Your Review],Malbec,2019,Inkarri
13,N/A,"Uco Valley, Mendoza Province, Argentina",750 ml,Red, Argentina,7/1/2021,"
                      A direct nose is dry and exact, with tight berry aromas that span from red to black in scope. Dry tannins and healthy acidity are to be expected for a 2016, a vintage with much more rain than normal. Herbal plum, currant and wild berry flavors come with a peppery spice backing prior to a medium-length finish.                      Michael Schachner ",Petite Fleur,Monteviejo 2016 Petite Fleur Malbec (Uco Valley),$25, Mendoza Province,92,Uco Valley,,Not rated yet [Add Your Review],Malbec,2016,Monteviejo
14,15.5%,"El Pomar District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Rich and comforting aromas of black cherry, baked plum, vanilla and nutmeg kick off the nose of this bottling. Soft but apparent tannins frame the baked berry flavors as earthy touches of oregano and iron make for a complex sip.                      Matt Kettmann ",Shotwell Vineyard,J. Lohr 2018 Shotwell Vineyard Malbec (El Pomar District),$60, California,92, Central Coast,El Pomar District,Not rated yet [Add Your Review],Malbec,2018,J. Lohr
15,14.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Very dark in the glass, this bottling, which includes 5% each of Cabernet Franc and Petit Verdot, mixes deep black-currant and cherry aromas with mossy wild mints. There's a charred meat and tart, black-skinned fruit character to the palate, with balanced hints of mushroom and plum cordial.                      Matt Kettmann ",Espionage,Cloak & Dagger 2018 Espionage Malbec (Paso Robles),$47, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],Malbec,2018,Cloak & Dagger
16,14%,"Mendoza, Mendoza Province, Argentina",750 ml,Red, Argentina,7/1/2021,"
                      Jammy berry aromas are herbal and include a slathering of pushy oak, while this feels full and chewy but also a touch saucy and soupy. Blackberry and plum flavors include a generous smear of oak, while this Malbec features mouthcoating tannins and long-lasting oak notes on the finish. Drink through 2024.                      Michael Schachner ",Tahuan Siesta en el Tahuantinsuyu From High Altitude Grapes,Ernesto Catena 2018 Tahuan Siesta en el Tahuantinsuyu From High Altitude Grapes Malbec (Mendoza),$17, Mendoza Province,91,Mendoza,,Not rated yet [Add Your Review],Malbec,2018,Ernesto Catena
