,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,15.9%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This is a seriously hearty Merlot, starting with aromas of dark plum, mulberry, tea leaf, oregano and baked soil. There's an intriguing array of dried garden herbs on the palate, which gives an elegant spin to the richer blackberry-jam backdrop. Dry, fine tannins lead to a cocoa finish.                      Matt Kettmann ",Fletcher's,Westerly 2018 Fletcher's Merlot (Happy Canyon of Santa Barbara),$50, California,93, Central Coast,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Merlot,2018,Westerly
1,14.2%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Crisp black-raspberry aromas meet with loads of minerality on the nose of this bottling, from crushed slate and wet granite to struck stone. There is a firm tension to the palate, where dark-cherry, light pepper and oregano flavors are surrounded by those soil and rock elements. Drink now through 2037.                      Matt Kettmann ",,Star Lane Vineyard 2017 Merlot (Happy Canyon of Santa Barbara),$28, California,92, Central Coast,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Merlot,2017,Star Lane Vineyard
2,14.8%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,7/1/2021,"
                      At first the strong flavors of vanilla bean and Bourbon tobacco overtake the lighter sour cherry fruit component. Merlot can be a difficult grape to pin down, but this quickly moves past that challenge by pushing the barrel flavors forward and then bringing up the fruit. It's drinking well now, and with ample aeration it's quite flavorful, so best consumed over the next two or three years.                      Paul Gregutt ",,Cória 2017 Merlot (Applegate Valley),$40, Oregon,91, Southern Oregon,Applegate Valley,Not rated yet [Add Your Review],Merlot,2017,Cória
3,14.5%,"Alta Valle della Greve, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of toasted oak, tilled earth, blue flowers and blueberry form the nose. On the densely concentrated, enveloping palate, fine-grained tannins accompany prune, blackberry extract, licorice and candied notes before a roasted coffee bean finish.                      Kerin O’Keefe ",Piantonaia,Poggio Scalette 2018 Piantonaia Merlot (Alta Valle della Greve),$200, Tuscany,90,Alta Valle della Greve,,Not rated yet [Add Your Review],Merlot,2018,Poggio Scalette
4,14.9%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2021,"
                      This is a Washington Merlot prototype, with aromas of red and black raspberry, milk chocolate, cedar and anise. The flavors bring depth, plushness and intensity, with lightly chalky tannins backing it all up. It's flat-out delicious, with the appeal as much about feel as flavor. Give a short decant if drinking in the near term.                      Sean P. Sullivan ",SHW Founding Vineyard,Seven Hills Winery 2018 SHW Founding Vineyard Merlot (Walla Walla Valley (WA)),$50, Washington,93, Columbia Valley,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2018,Seven Hills Winery
5,14.6%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2021,"
                      Initially brooding, high-register aromas of orange oil, clove, chocolate and raspberry are followed by palate coating black raspberry flavors. The depth and texture are captivating. Give it some time to open up.                      Sean P. Sullivan ",,Prospice 2018 Merlot (Walla Walla Valley (WA)),$50, Washington,92, Columbia Valley,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2018,Prospice
6,14.8%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      This smooth but muscular wine offers abundant and deep dark-plum and black-olive flavors, and a polished texture backed by firm ultrafine-grained tannins. It's a classic Bordeaux-style expression of the grape that's both delicious and well balanced.                      Jim Gordon ",,Entropy Cellars 2017 Merlot (Livermore Valley),$28, California,92, Central Coast,Livermore Valley,Not rated yet [Add Your Review],Merlot,2017,Entropy Cellars
7,14.6%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2021,"
                      Initially brooding, high-register aromas of orange oil, clove, chocolate and raspberry are followed by palate coating black raspberry flavors. The depth and texture are captivating. Give it some time to open up.                      Sean P. Sullivan ",,Prospice 2018 Merlot (Walla Walla Valley (WA)),$50, Washington,92, Columbia Valley,Walla Walla Valley (WA),Not rated yet [Add Your Review],Merlot,2018,Prospice
8,14.5%,"Central Coast, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      This widely available bottling impresses on multiple levels, beginning with a ripe and rugged nose of boysenberry, cherry, leather, iodine and smoke. There's compelling texture to the sip, where smoked meat, mocha and coffee flavors sink into the deep, dark fruit.                      Matt Kettmann ",,Gnarly Head 2019 Merlot (Central Coast),$12, California,92, Central Coast,Central Coast,Not rated yet [Add Your Review],Merlot,2019,Gnarly Head
9,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,5/1/2021,"
                      This estate wine blends in 15% Cabernet Sauvignon, which adds to the generosity of power and tannin. With a buttery, creamy entry of supple texture, it shows a wealth of baked plum, cherry and cranberry, with dried herb and nutmeg seasoning the richness and intensity.                      Virginie Boone ",Stout Vineyard,Duckhorn 2017 Stout Vineyard Merlot (Napa Valley),$100, California,91, Napa,Napa Valley,Not rated yet [Add Your Review],Merlot,2017,Duckhorn
