,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.8%,"Yorkville Highlands, North Coast, California, US",750 ml,Red, US,7/1/2021,"
                      There's a hint of earthy reduction in the aroma at first, but powerful, focused, vivid flavors take over on the palate, offering black-pepper, sour cherry, woodsmoke, singed rosemary and espresso notes that are smartly balanced by tangy acidity and relatively light tannins for the varietal. This ageworthy wine will be best from 2026.                      Jim Gordon ",Tierra Theopolis Vineyards,Halcón 2019 Tierra Theopolis Vineyards Petite Sirah (Yorkville Highlands),$32, California,94, North Coast,Yorkville Highlands,Not rated yet [Add Your Review],Petite Sirah,2019,Halcón
1,15.1%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Roasted black-currant and blueberry aromas coat the charred meat element on the nose of this bottling. There is a viscous, glycerine-like feel to the palate, where blueberry-compote and cassis flavors run into the charred meat yet again, with acidity that pokes out toward the finish.                      Matt Kettmann ",Unknown Pleasures,Bushong 2018 Unknown Pleasures Petite Sirah (Paso Robles),$49, California,93, Central Coast,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2018,Bushong
2,14.7%,"Fair Play, Sierra Foothills, California, US",750 ml,Red, US,7/1/2021,"
                      Plentiful roasted meat, black-pepper and ripe blueberry flavors crowd into this full-bodied, richly tannic wine for a satisfying, mouthfiling sensation. Great concentration, integrated tannins and depth bode well for aging. Best from 2025.                      Jim Gordon ",Harry's Hill Vineyard,Myka 2018 Harry's Hill Vineyard Petite Sirah (Fair Play),$36, California,92, Sierra Foothills,Fair Play,Not rated yet [Add Your Review],Petite Sirah,2018,Myka
3,15.3%,"El Pomar District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Dark but fresh aromas of purple flowers converge with rich chocolate lava cake on the nose of this bottling. A roasted cocoa flavor is woven into the cassis and coffee flavors of the unctuous and satisfying palate.                      Matt Kettmann ",,Pianetta 2018 Petite Sirah (El Pomar District),$40, California,92, Central Coast,El Pomar District,Not rated yet [Add Your Review],Petite Sirah,2018,Pianetta
4,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,7/1/2021,"
                      Given extended barrel-aging for 30 months in French oak, adding texture and nuance to a big-boned grape. Thick, tannic and earthy, it has enviable structure and lengthy layers of dark chocolate, blackberry and fig, opulently soft on the finish in a tease of baking spice.                      Virginie Boone ",EBA,Robert Biale 2017 EBA Petite Sirah (Napa Valley),$85, California,91, Napa,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2017,Robert Biale
5,14.3%,"El Pomar District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Dark-currant and violet aromas meet with a touch of tart blackberry on the nose of this bottling. There is a solid balance of lively acidity and chalky texture on the sip, where purple-fruit and purple-flower flavors coalesce.                      Matt Kettmann ",,Ragtag 2017 Petite Sirah (El Pomar District),$44, California,90, Central Coast,El Pomar District,Not rated yet [Add Your Review],Petite Sirah,2017,Ragtag
6,14.8%,"Rockpile, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      From the Jack Florence Jr. Vineyard at 1,000 to 2,000 feet in elevation, this is a dark, plummy and blackberry-laced red wine that offers full-bodied intensity and soft and creamy texture. Anise, cedar and baking spice contribute additional flavor.                      Virginie Boone ",Reserve,Carol Shelton 2016 Reserve Petite Sirah (Rockpile),$45, California,90, Sonoma,Rockpile,Not rated yet [Add Your Review],Petite Sirah,2016,Carol Shelton
7,15.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      Fresh violet, blackberry and blueberry aromas are lifted by fennel, sage and roasted meats on the nose of this single-vineyard expression. The tannins hit hard on the tip of the sip and then slowly release their grip, offering blueberry sorbet and violet flavors to sail across a fresh acidity.                      Matt Kettmann ",Gemeny Vineyards,MCV 2018 Gemeny Vineyards Petite Sirah (Paso Robles),$52, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2018,MCV
8,14%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      A dense cassis aroma manages to be both ripe and balanced by floral undertones on the nose of this affordable offering. Hearty flavors of black currant and blueberry are spiced by caramel, vanilla and mace, providing a thorough experience.                      Matt Kettmann ",Suite Petite,Chronic Cellars 2019 Suite Petite Petite Sirah (Paso Robles),$15, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2019,Chronic Cellars
9,15.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      Cassis and blackberry-jam aromas meet with brown sugar, licorice and a light caramelization on the deep and dark nose of this single-vineyard expression. Hearty tannins frame the palate, giving structure to the rich and ripe fruit, which is further cut by strong acidity and leads into a maple-kissed finish.                      Matt Kettmann ",Rosewynn Vineyard,MCV 2018 Rosewynn Vineyard Petite Sirah (Paso Robles),$52, California,92, Central Coast,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2018,MCV
