,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      Crisp lemon and lime aromas meet with a crushed sea-shell tone on the nose of this bottling. There's a taut feeling to the palate, where pome-fruit and stone-fruit flavors wander through the engaging texture.                      Matt Kettmann ",Jackson Estate Nielson Vineyard,Kendall-Jackson 2019 Jackson Estate Nielson Vineyard Pinot Blanc (Santa Maria Valley),$30, California,92, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Pinot Blanc,2019,Kendall-Jackson
1,13.9%,"Mendocino County, Mendocino County, California, US",750 ml,White, US,7/1/2021,"
                      This flavorful, well-structured and balanced wine offers fragrant peach and butter aromas. Tangy white-peach and green-apple flavors follow alongside a pleasant nip of tannins.                      Jim Gordon ",,Brooks Note 2019 Pinot Blanc (Mendocino County),$24, California,90, Mendocino County,Mendocino County,Not rated yet [Add Your Review],Pinot Blanc,2019,Brooks Note
2,13.2%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,7/1/2021,"
                      This is barrel fermented and left on the lees prior to bottling. Crisp green apple, lemon wafer and a hint of butter bring out well-rounded flavors that carry a hint of residual sugar. It's dry but not tart, and would be an excellent substitute for a Chardonnay.                      Paul Gregutt ",Surlie,Harper Voit 2019 Surlie Pinot Blanc (Willamette Valley),$20, Oregon,90, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Pinot Blanc,2019,Harper Voit
3,13.5%,"Pfalz, Germany",750 ml,White, Germany,4/1/2021,"
                      From nose to finish, there's so much complexity to be found in this landmark German Pinot Blanc. It's dry and silken in texture, with delicate pear and yellow apple flavors anchored by veins of smoky, crystalline minerality and racy lime acidity. A subtle, steely wine in youth that will develop greater power and intensity with time. Best 2023–2030.                      Anna Lee C. Iijima ",Im Sonnenschein GG,Ökonomierat Rebholz 2018 Im Sonnenschein GG Pinot Blanc (Pfalz),$110,Pfalz,95,,,Not rated yet [Add Your Review],Pinot Blanc,2018,Ökonomierat Rebholz
4,13%,"Rheinhessen, Germany",750 ml,White, Germany,4/1/2021,"
                      Stony minerality extends from nose to palate, lending weight and gravitas to concentrated yellow peach and Mirabelle plum flavors. Sourced from volcanic soils of the Siefersheim vineyard, it's an intensely ripe, voluptuous Pinot Blanc anchored by firm strikes of steel and smoke. While a bit nervous in youth, it should blossom gloriously from 2023 to 2030.                      Anna Lee C. Iijima ",Siefersheim Trocken,Wagner-Stempel 2018 Siefersheim Trocken Weissburgunder (Rheinhessen),$38,Rheinhessen,95,,,Not rated yet [Add Your Review],"Weissburgunder, Pinot Blanc",2018,Wagner-Stempel
5,13.5%,"Pfalz, Germany",750 ml,White, Germany,4/1/2021,"
                      Cutting notes of green melon and lime skin introduce this full-bodied but delightfully zippy Pinot Blanc. A well-priced, entry-level bottling from the grandmaster of German Pinot Blanc, it's a supple, fresh-fruited sip backed by a racy backbone of acidity and a long, chalky finish. Ready now but should reward through 2024, at least.                      Anna Lee C. Iijima ",Dry,Ökonomierat Rebholz 2018 Dry Pinot Blanc (Pfalz),$28,Pfalz,92,,,Not rated yet [Add Your Review],Pinot Blanc,2018,Ökonomierat Rebholz
6,13%,"Rheinhessen, Germany",750 ml,White, Germany,4/1/2021,"
                      Wagner-Stempel's entry-level Pinot Blanc is a profoundly smoky, mineral sip. Apple, pear and lemon flavors are crisp and cutting, accented by zippy lime acidity and a firm, steely finish. A remarkably solid, weighty dry white that should drink well through 2025.                      Anna Lee C. Iijima ",Gutswein Trocken,Wagner-Stempel 2018 Gutswein Trocken Weissburgunder (Rheinhessen),$22,Rheinhessen,92,,,Not rated yet [Add Your Review],"Weissburgunder, Pinot Blanc",2018,Wagner-Stempel
7,12.5%,"Pfalz, Germany",750 ml,White, Germany,4/1/2021,"
                      Delicate notes of toast and hazelnut accent bristling yellow apple and Meyer lemon flavors in this delightfully fresh, piercing white. Dry and steely yet plump on the palate, it's remarkably well-priced for such a stately wine. Ready now but should drink well through 2024 at least.                      Anna Lee C. Iijima ",Becker Family,Friedrich Becker 2018 Becker Family Pinot Blanc (Pfalz),$22,Pfalz,92,,,Not rated yet [Add Your Review],Pinot Blanc,2018,Friedrich Becker
8,12.5%,"Mosel, Germany",750 ml,White, Germany,4/1/2021,"
                      Delicate hints of toast, green apple and hazelnut skin introduce this dry, smoky Pinot Blanc. Light-bodied yet quite silky in texture, it offers concentrated pear and grapefruit flavors against a dramatic, smoldering backdrop. Freshly balanced and thirst-quenching, it's a lovely wine to enjoy through 2027.                      Anna Lee C. Iijima ",,Maximin Grünhäuser 2019 Pinot Blanc (Mosel),$24,Mosel,91,,,Not rated yet [Add Your Review],Pinot Blanc,2019,Maximin Grünhäuser
9,13%,"Dundee Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2021,"
                      This is a finesse wine, scented and flavored with apple skins as well as flesh. There are subtle suggestions of green pineapple and citrus, and the wine is balanced and quite refreshing. The overall impact lingers far beyond the immediate lightness of flavor.                      Paul Gregutt ",,The Eyrie Vineyards 2019 Pinot Blanc (Dundee Hills),$21, Oregon,91, Willamette Valley,Dundee Hills,Not rated yet [Add Your Review],Pinot Blanc,2019,The Eyrie Vineyards
