,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.4%,"Mendocino Ridge, Mendocino County, California, US",750 ml,Red, US,7/1/2021,"
                      This opulent wine offers amazingly concentrated, ripe fruit flavors and a creamy texture. Layers of black cherry, blueberry and raspberry syrup are followed by rosemary and pine. Made from 80% whole clusters and 20% aged in new oak, it is an indulgent and delicious wine that beautifully supports its fruity extravagance with a slightly tangy and subtly tannic texture. Best from 2025.                      Jim Gordon ",Estate Field Selections,Drew 2018 Estate Field Selections Pinot Noir (Mendocino Ridge),$70, California,98, Mendocino County,Mendocino Ridge,Not rated yet [Add Your Review],Pinot Noir,2018,Drew
1,13.8%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This wine starts with aromas of pine needle and tarragon, with joyous bowlfuls of ripe yet snappy raspberry and cherry chiming in. Herbal elegance shines throughout the sip, giving eucalyptus-like depth to the juicy red-fruit flavors.                      Matt Kettmann ",Sandy's Block Estate,Melville 2019 Sandy's Block Estate Pinot Noir (Sta. Rita Hills),$50, California,97, Central Coast,Sta. Rita Hills,Not rated yet [Add Your Review],Pinot Noir,2019,Melville
2,13.4%,"Anderson Valley, Mendocino County, California, US",750 ml,Red, US,7/1/2021,"
                      Rose petal and mint accents merge with deep, concentrated black-fruit flavors in this medium- to full-bodied wine that is laced with velvety, fine-grained tannins. It combines superb balance with layers of fruit and subtle spices for a very compelling palate. Best from 2024.                      Jim Gordon ",The Fog-Eater,Drew 2019 The Fog-Eater Pinot Noir (Anderson Valley),$45, California,96, Mendocino County,Anderson Valley,Not rated yet [Add Your Review],Pinot Noir,2019,Drew
3,14.1%,"Fort Ross-Seaview, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      From a site overlooking the Pacific Ocean and Gualala River, planted at the urging of Warren Dutton, this wine is outstanding. Peppery, floral and fruity on the nose and palate, it evolves in the glass to show elegant acidity and earthy, herbal qualities, with tones of crushed rock, sea air and black tea.                      Virginie Boone ",McDougall Vineyard,Dutton-Goldfield 2018 McDougall Vineyard Pinot Noir (Fort Ross-Seaview),$68, California,96, Sonoma,Fort Ross-Seaview,Not rated yet [Add Your Review],Pinot Noir,2018,Dutton-Goldfield
4,13.7%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Plump and ripe cherries and berries pop on the nose of this block designate, as do damp tea leaves and dewy sagebrush aromas. The palate is perky with crisp and pure red-cherry flavors that appeal to the hedonistic side, while the pine needle and minty tarragon tones inspire intellectual enjoyment.                      Matt Kettmann ",Anna's Block,Melville 2019 Anna's Block Pinot Noir (Sta. Rita Hills),$62, California,96, Central Coast,Sta. Rita Hills,Not rated yet [Add Your Review],Pinot Noir,2019,Melville
5,13%,"Sonoma Coast, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      From the producer's own home estate planted in 2009, this is a gorgeous reckoning of minty sage, black tea and cool-climate hits of pomegranate and rhubarb. The tannins are strong and supportive and soften in the glass, showing graceful structure that complements the crisp, persistent acidity.                      Virginie Boone ",TBH Vineyard Estate Grown,Small Vines 2018 TBH Vineyard Estate Grown Pinot Noir (Sonoma Coast),$89, California,96, Sonoma,Sonoma Coast,Not rated yet [Add Your Review],Pinot Noir,2018,Small Vines
6,14.3%,"Santa Lucia Highlands, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Dark cherry, sweet sage, light cardamom cream and a steely minerality are expertly integrated on the nose of this bottling from an iconic vineyard. It's a hearty wine on the palate, loaded with both roasted cherry and taut raspberry, but it's the array of chaparral herbs, from wild thyme to juniper and bay leaf, that provide the most intrigue.                      Matt Kettmann ",Garys' Vineyard,Kosta Browne 2018 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),$165, California,96, Central Coast,Santa Lucia Highlands,Not rated yet [Add Your Review],Pinot Noir,2018,Kosta Browne
7,12.5%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Quite light in the glass, this exciting bottling offers pronounced aromas of thyme, juniper and green peppercorn, with just the right amount of crisp red fruit. The taut and fresh flavors of cranberry and pomegranate are wrapped in tea leaves and pine needles on the engaging palate.                      Matt Kettmann ",Ascona Vineyard,Madson 2019 Ascona Vineyard Pinot Noir (Santa Cruz Mountains),$50, California,96, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Pinot Noir,2019,Madson
8,13.5%,"Pfalz, Germany",750 ml,Red, Germany,7/1/2021,"
                      More floral and transparent in fruit than the producer's more robust, earthier Kammerberg, the Sankt Paul offers bristling raspberry and red-plum flavors accented by hints of leather and forest floor. Sourced from a limestone outcrop on the Alsatian border, it's a fresh, invigorating red that drinks well now but should continue to improve through 2035.                      Anna Lee C. Iijima ",Sankt Paul,Friedrich Becker 2015 Sankt Paul Pinot Noir (Pfalz),$147,Pfalz,96,,,Not rated yet [Add Your Review],Pinot Noir,2015,Friedrich Becker
9,14.6%,"Sonoma Coast, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      From two vineyard sites just a few miles from the Pacific Ocean, this wine is juicy in cranberry and pomegranate. Lifted accents of white pepper, orange peel and rose add complexity and nuance to the robust frame.                      Virginie Boone ",Land's Edge Vineyards,Hartford Court 2018 Land's Edge Vineyards Pinot Noir (Sonoma Coast),$50, California,95, Sonoma,Sonoma Coast,Not rated yet [Add Your Review],Pinot Noir,2018,Hartford Court
