,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,21%,"South Australia, South Australia, Australia",750 ml,Port/Sherry, Australia,7/1/2021,"
                      Seppeltsfield's Centennial wines have been released annually for past 140 years and are believed to be the only single-vintage wines with such unbroken lineage on the planet. While the full composition is unknown, this now 101-year-old wine is composed primarily of Shiraz and Grenache and fortified with grape spirit. Resembling molasses in both color and texture, it is deeply evocative—a bottomless well of aroma and flavor that goes on and on: first chocolate, dates and praline, then baking spice and coffee beans, then tree sap, forest floor and the dusty spine of an old book. Intensely concentrated yet extraordinarily fresh, it is like drinking the essence of the past, a time in Australia just after WWI when hope was in the air. This is an exceptionally rare beauty that will outlive all of us.                      Christina Pickard ",100-Year Vintage Para Tawny,Seppeltsfield 1920 100-Year Vintage Para Tawny Red (South Australia),$1000, South Australia,100,South Australia,,Not rated yet [Add Your Review],"Red Blends, Red Blends",1920,Seppeltsfield
1,13.5%,"Bolgheri Sassicaia, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      All about radiance and finesse, this iconic Tuscan red has beguiling aromas of cedar, wild red berry, menthol and pipe tobacco that mingle with fragrant blue flowers. Made with 85% Cabernet Sauvignon and 15% Cabernet Franc, the focused, elegantly structured palate is vibrant and savory, delivering cassis, orange zest, licorice and a hint of coffee framed in taut, polished tannins. Bright acidity keeps it energized and balanced. Drink through 2033.                      Kerin O’Keefe ",Sassicaia,Tenuta San Guido 2018 Sassicaia  (Bolgheri Sassicaia),$255, Tuscany,98,Bolgheri Sassicaia,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Tenuta San Guido
2,14%,"South Australia, Australia",750 ml,Red, Australia,7/1/2021,"
                      This is a blend of 74% Coonawarra Cabernet Sauvignon and 26% Barossa Shiraz. It's a sleek and polished yet approachable red that screams luxury. Waves of cherry, plum, licorice, graphite, savory spices and herbs are ensconced in a subtle yet present layer of oak and wound in ultrafine tannins. Drink 2023–2040.                      Christina Pickard ",The Caley,Yalumba 2015 The Caley Cabernet Sauvignon-Shiraz,$350,South Australia,97,,,Not rated yet [Add Your Review],"Cabernet Sauvignon-Shiraz, Red Blends",2015,Yalumba
3,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of cassis, menthol, blue flower and pipe tobacco shape the nose on this gorgeous red. A blend of Sangiovese, Cabernet Sauvignon and Cabernet Franc, the delicious, elegantly structured palate delivers dried black cherry, ripe blackberry, licorice and vanilla framed in taut, fine-grained tannins. Drink 2023–2029.                      Kerin O’Keefe ",Tignanello,Marchesi Antinori 2017 Tignanello Red (Toscana),$135, Tuscany,97,Toscana,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2017,Marchesi Antinori
4,15.5%,"Templeton Gap District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Almost opaque in the glass, this hearty blend of 46% Tempranillo, 29% Malbec, 20% Petite Sirah and 5% Zinfandel begins with a burly nose of beef slathered in blueberry compote. The brawny qualities excel on the palate as well, which is full of rugged, leathery game, charred berry and dried mushroom flavors.                      Matt Kettmann ",Praetorian,ONX 2018 Praetorian Red (Templeton Gap District),$48, California,96, Central Coast,Templeton Gap District,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,ONX
5,14.5%,"Bolgheri Superiore, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Savory and enveloping, this red has aromas of woodland berry, Mediterranean scrub and menthol. The delicious, full-bodied palate doles out juicy black cherry, ripe blackberry and star anise before an espresso finish. Polished, velvety tannins lend finesse. Drink through 2029.                      Kerin O’Keefe ",,Guado al Tasso 2017  Bolgheri Superiore,$130, Tuscany,96,Bolgheri Superiore,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2017,Guado al Tasso
6,15.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      New leather, camphor and cassis aromas emerge on this blend of 59% Cabernet Franc and 41% Merlot, along with whiffs of sweet pipe tobacco. Showing muscle but also surprising finesse, the delicious, full-bodied palate delivers ripe blackberry, Marasca cherry, licorice and grilled herbs alongside tightly knit, fine-grained tannins that envelope the rich flavors. While you might notice the warmth of alcohol on the close, you'd never guess the abv was 15.5%.                      Kerin O’Keefe ",,Tenuta di Trinoro 2018 Red (Toscana),$250, Tuscany,96,Toscana,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Tenuta di Trinoro
7,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Made with 72% Cabernet Sauvignon, 20% Sangiovese and 8% Cabernet Franc, this has aromas of black currant, menthol, Mediterranean herbs and spice. The palate offers dried black cherry, star anise, tobacco and toasted almond framed in tightly wound, close-grained tannins that produce a firm finish. This is already generous, but give the tannins a few years to unwind. Drink 2023–2029.                      Kerin O’Keefe ",Solaia,Marchesi Antinori 2017 Solaia Red (Toscana),$330, Tuscany,96,Toscana,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2017,Marchesi Antinori
8,20.9%,"South Australia, South Australia, Australia",750 ml,Port/Sherry, Australia,7/1/2021,"
                      With over two decades under its belt, this Tawny fortified defies its age. It's radiant burnt orange in hue, with an equally sunny disposition. High-toned aromas of candied citrus, flan, roasted nuts and a damp woodsy underbelly lead to a mouthfeel that's rich but not unctuous, sweet but not cloying. There's some heat from the alcohol but a wealth of primary citrus flavors that hint at many more years to come. A delicious tribute to Australia's most traditional winemaking style from one of its oldest wineries.                      Christina Pickard ",Vintage Para Tawny,Seppeltsfield 1999 Vintage Para Tawny Red (South Australia),$90, South Australia,96,South Australia,,Not rated yet [Add Your Review],"Red Blends, Red Blends",1999,Seppeltsfield
9,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Made with Cabernet Franc, Merlot, Cabernet Sauvignon and Petit Verdot, this has intense aromas of cassis, camphor, leather and dark spice. It's smooth and savory, doling out ripe blackberry, juicy black currant, licorice and tobacco accompanied by polished tannins.                      Kerin O’Keefe ",Il Pino di Biserno,Tenuta di Biserno 2018 Il Pino di Biserno Red (Toscana),$70, Tuscany,95,Toscana,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Tenuta di Biserno
10,15.2%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Edgar Torres manages to craft blends that both hit those Paso Robles rich marks yet exhibit zesty freshness as well. This blend of 54% Garnacha, 23% Carignan and 23% Tempranillo begins with aromas of crisp black raspberry, caramel and pepper dust on the nose, while the palate adds bright purple flowers and a stony minerality to the mix.                      Matt Kettmann ",Tarragona Paper Street Vineyard,Bodega de Edgar 2018 Tarragona Paper Street Vineyard Red (Paso Robles Willow Creek District),$58, California,95, Central Coast,Paso Robles Willow Creek District,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Bodega de Edgar
11,13.5%,"Sizzano, Piedmont, Italy",750 ml,Red, Italy,7/1/2021,"
                      Fragrant, delicious and loaded with finesse, this radiant red from Alto Piemonte has enticing aromas of woodland red berries, baking spice, rose and wild herbs. Focused and vibrant, the lithe palate has a pristine quality, featuring juicy red cherry, blood orange, white pepper and a note of star anise framed in lithe tannins. Bright acidity keeps it energized. Drink through 2025.                      Kerin O’Keefe ",,Villa Guelpa 2018 Red (Sizzano),$50, Piedmont,95,Sizzano,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Villa Guelpa
12,13.4%,"Mendocino Ridge, Mendocino County, California, US",750 ml,Red, US,7/1/2021,"
                      This quietly impressive wine wraps superfine tannins around deep, haunting flavors that range from ginger-spice cookies to cooked blueberries, new leather and dark chocolate. It's big in terms of flavor impact, but the wine itself is just medium to full bodied, and offers a silky, polished texture that's hard to resist. Best from 2024.                      Jim Gordon ",The Field Blend,Drew 2018 The Field Blend Red (Mendocino Ridge),$32, California,95, Mendocino County,Mendocino Ridge,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Drew
13,13.5%,"Bandol, Provence, France",750 ml,Red, France,7/1/2021,"
                      Vines from La Brûlade, the highest point in Bandol at 1,200 feet, make this rich and dense wine. Perfumed and still packed with dark tannins to nourish the juicy black fruits, it is structured and concentrated. Drink from 2024. Organic.                      Roger Voss ",La Brûlade,Domaine de la Bégude 2018 La Brûlade Red (Bandol),$105, Provence,95,Bandol,,Not rated yet [Add Your Review],"Provence red blend, Red Blends",2018,Domaine de la Bégude
14,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      This enticing red offers alluring aromas of fragrant purple flowers, dark-skinned berries and crushed mint. The elegantly structured palate doles out succulent blackberry, orange zest, licorice and saline notes set against taut, refined tannins. It's nicely balanced by fresh acidity. Drink 2022–2029.                      Kerin O’Keefe ",Guidalberto,Tenuta San Guido 2019 Guidalberto Red (Toscana),$70, Tuscany,95,Toscana,,Not rated yet [Add Your Review],"Red Blends, Red Blends",2019,Tenuta San Guido
15,14.6%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Falcone only produces 75 cases of this nonvintage, solera-style blend of Petite Sirah, Syrah and Cabernet Sauvignon each year. Lush and luxurious aromas of black-cherry cream, vanilla and caramel entice the nose, while the palate's creamy texture and rich flavors are balanced by ample acidity and a violet lift. It's a special sip every time.                      Matt Kettmann ",Annate XI,Falcone NV Annate XI Red (Paso Robles),$65, California,95, Central Coast,Paso Robles,Not rated yet [Add Your Review],"Red Blends, Red Blends",,Falcone
16,14.5%,"Barossa, South Australia, Australia",750 ml,Red, Australia,7/1/2021,"
                      The latest release of this wine honors the company's chief winemaker of 30 years, Louisa Rose. This is a lucid, multilayered wine that shows notes of dark cherry, currant, chocolate, mint, bay and peppery spices smudged with graphite. The palate is big and rich but tempered by fine, chalky tannins, with a tang to the fruit and an underbelly of roast meat. Drink 2022–2036.                      Christina Pickard ",The Signature,Yalumba 2016 The Signature Cabernet Sauvignon-Shiraz (Barossa),$70, South Australia,94,Barossa,,Not rated yet [Add Your Review],"Cabernet Sauvignon-Shiraz, Red Blends",2016,Yalumba
17,15.4%,"Templeton Gap District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Very dark in the glass, this blend of 67% Syrah, 31% Petite Sirah and 2% Zinfandel shows iodine and lamb aromas on the nose alongside charred black currant and hickory smoke. Those gamy, roasted qualities swirl throughout the sip, where firm acidity and a pinch of herbs complete the experience.                      Matt Kettmann ",Reckoning,ONX 2018 Reckoning Red (Templeton Gap District),$58, California,94, Central Coast,Templeton Gap District,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,ONX
18,15.6%,"California, California Other, California, US",750 ml,Red, US,7/1/2021,"
                      Nearly opaque in the glass, this blend of 47% Cabernet Sauvignon, 43% Petit Verdot and 10% Syrah entices the nose with rich yet somehow reserved aromas of violet, caramel and charred berry. It's thick and dense on the palate, with lavish tannins that are creamy and tense, framing elderberry, dark-cocoa, espresso-bean and floral flavors. Drink now through 2030.                      Matt Kettmann ",Bolt Cutter,Herman Story 2018 Bolt Cutter Red (California),$52, California,94, California Other,California,Not rated yet [Add Your Review],"Red Blends, Red Blends",2018,Herman Story
