,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,8%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      This zippy, laser-edged auslese offsets luminous tangerine, white peach and honeydew flavors against an electric jolt of lime and lemon acidity. Profoundly ripe yet sprightly on the palate, it's a honeyed, sun-drenched sip cut by shards of crystal and slate. Buoyant fruit and heady perfume makes it irresistible young but it will continue to improve for decades.                      Anna Lee C. Iijima ",Rausch Auslese,Zilliken 2019 Rausch Auslese Riesling (Mosel),$104,Mosel,98,,,Not rated yet [Add Your Review],Riesling,2019,Zilliken
1,12.5%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      This remarkable wine displays breathtaking power and elegance. Sourced from the sun-drenched cliffs of the Erdener Prälat, it's a massively ripe yet dry wine, packed with yellow peach and honey. Aged 24 months on lees, it's luscious and gripping on the palate yet maintains a steely spine of acidity. The finish feels endless and smoky. Delicious now–2035.                      Anna Lee C. Iijima ",Erdener Prälat Réserve Alte Reben Dry GG,Dr. Loosen 2014 Erdener Prälat Réserve Alte Reben Dry GG Riesling (Mosel),$162,Mosel,97,,,Not rated yet [Add Your Review],Riesling,2014,Dr. Loosen
2,12%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      Struck flint and river rocks introduce this brilliantly steely dry Riesling. Compared to the youthful, almost tropical, charm of the producer's 2019 Herrenberg GG, lime and grapefruit flavors in the Abtsberg are bracing and linear in youth but suggest a depth and elegance that should reward cellaring. Best to hold till 2024 at least. It should evolve wonderfully through 2035 and hold longer still.                      Anna Lee C. Iijima ",Abtsberg GG,Maximin Grünhäuser 2019 Abtsberg GG Riesling (Mosel),$70,Mosel,97,,,Not rated yet [Add Your Review],Riesling,2019,Maximin Grünhäuser
3,13%,"Nahe, Germany",750 ml,White, Germany,7/1/2021,"
                      Sourced from volcanic soils, this is a smoldering, intensely mineral wine highlighted by streaks of lime and lemon. It's piercing and concentrated in pure, pristine citrus flavors but powerful and sinewy on the finish. This bold dry Riesling that should reach peak from 2023 and improve well through 2040.                      Anna Lee C. Iijima ",Bockenauer Stromberg GG Dry Gold Cap,Schäfer-Fröhlich 2018 Bockenauer Stromberg GG Dry Gold Cap Riesling (Nahe),$125,Nahe,97,,,Not rated yet [Add Your Review],Riesling,2018,Schäfer-Fröhlich
4,13.5%,"Pfalz, Germany",750 ml,White, Germany,7/1/2021,"
                      A rare expression of red-slate soils from the Pfalz, this dry, richly textured Riesling balances piercing gooseberry and grapefruit flavors against a rambling backdrop of scorched earth and spice. Zesty and penetrating, it's a stately wine that deserves a few more years of cellaring to show its full color. At peak from 2023–2040 but likely to hold longer as well.                      Anna Lee C. Iijima ",Kastanienbusch GG,Ökonomierat Rebholz 2018 Kastanienbusch GG Riesling (Pfalz),$125,Pfalz,96,,,Not rated yet [Add Your Review],Riesling,2018,Ökonomierat Rebholz
5,12%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      The Herrenberg vineyard historically played second fiddle to the estate's more famed Abtsberg, but with shifting climactic conditions, GG wines from this vineyard are showing an intensity of fruit and mineral vitality that rivals its sibling bottlings. While slim in profile, this is a penetrating, reverberating sip packed with scintillating tangerine, yellow peach and nectarine flavors. Dry and breathtakingly balanced, it's a wine that should improve through 2035 and hold further.                      Anna Lee C. Iijima ",Herrenberg GG,Maximin Grünhäuser 2019 Herrenberg GG Riesling (Mosel),$62,Mosel,96,,,Not rated yet [Add Your Review],Riesling,2019,Maximin Grünhäuser
6,12%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      This dry bottling from its famed Saarburger Rausch vineyard, this is a sleek, hauntingly concentrated wine. While light in body, it's a ripe, almost cream-textured Riesling layered with luscious white peach, grapefruit and gooseberry flavors. Reflective of the vintage, it's a distinctly richer, more extracted expression of the Saar, yet maintains a steely, earthen edge. Approachable now but should improve through 2035 and hold longer still.                      Anna Lee C. Iijima ",Rausch GG,Zilliken 2019 Rausch GG Riesling (Mosel),$80,Mosel,96,,,Not rated yet [Add Your Review],Riesling,2019,Zilliken
7,13%,"Franken, Germany",750 ml,White, Germany,7/1/2021,"
                      Heady notes of grapefruit and yellow apples perfume this full-bodied, richly concentrated Riesling. Dry in style and lusciously textured, it's a deeply satisfying, penetrating white that finishes long on a streak of bristling lemon acidity and a grip of orange pith. Tasted at the beginning of 2021, it's still fresh and fruity but should continue to develop well through 2035 and hold longer still.                      Anna Lee C. Iijima ",Iphöfer Julius-Echter-Berg GG Trocken Gold Cap,Hans Wirsching 2016 Iphöfer Julius-Echter-Berg GG Trocken Gold Cap Riesling (Franken),$72,Franken,96,,,Not rated yet [Add Your Review],Riesling,2016,Hans Wirsching
8,13%,"Nahe, Germany",750 ml,White, Germany,7/1/2021,"
                      Intensely smoky, spicy notes of crushed slate and sunbaked earth introduce this steely, muscular dry Riesling. Full bodied and voluminous on the palate, it's a silken, deeply textured white concentrated with zesty grapefruit, lime and lemon flavors. Deeply complex and bristling with energy, it's a wine that needs time to meld. Hold till 2024 at least. It should welcome cellaring well through 2040.                      Anna Lee C. Iijima ",Monzinger Frülingsplätzchen GG Dry Gold Cap,Schäfer-Fröhlich 2018 Monzinger Frülingsplätzchen GG Dry Gold Cap Riesling (Nahe),$112,Nahe,96,,,Not rated yet [Add Your Review],Riesling,2018,Schäfer-Fröhlich
9,8%,"Mosel, Germany",750 ml,White, Germany,7/1/2021,"
                      Streaks of white grapefruit and struck slate collide on the nose of this blindingly pure-fruited spätlese. Light on its feet yet powerfully concentrated with lime, apricot and honeydew flavors, it's an electric sip that can't be placed anywhere but the Mosel. Medium sweet yet without a trace of sugariness, it's irresistible now but should evolve beautifully through 2035 and hold longer still.                      Anna Lee C. Iijima ",Rausch Spätlese,Zilliken 2019 Rausch Spätlese Riesling (Mosel),$64,Mosel,96,,,Not rated yet [Add Your Review],Riesling,2019,Zilliken
