,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Coteaux d'Aix-en-Provence, Provence, France",750 ml,Rose, France,7/1/2021,"
                      Syrah and Mourvèdre give structure and perfume to this dense wine. With spice, vanilla and intense red fruits, the wine is ripe, full and laced with acidity. Drink this rich wine from late 2021.                      Roger Voss ",Terre des Anges,Château Paradis 2020 Terre des Anges Rosé (Coteaux d'Aix-en-Provence),$35, Provence,93,Coteaux d'Aix-en-Provence,,Not rated yet [Add Your Review],Rosé,2020,Château Paradis
1,13%,"Toscana, Tuscany, Italy",750 ml,Rose, Italy,7/1/2021,"
                      Made entirely with Sangiovese and from the Biondi Santi BBS 11 clone, this radiant, medium-bodied rosato offers heady aromas of forest berries and cedar with whiffs of Mediterranean herbs. On the savory, tangy palate, mouthwatering acidity accompanies strawberry compote, orange zest and fennel.                      Kerin O’Keefe ",Jet Sangiovese,Castello di Montepò 2019 Jet Sangiovese Rosato (Toscana),$35, Tuscany,92,Toscana,,Not rated yet [Add Your Review],"Rosato, Rosé",2019,Castello di Montepò
2,14%,"Tavel, Rhône Valley, France",750 ml,Rose, France,7/1/2021,"
                      Rose petals and kirsch liqueur perfume this deeply hued, red-berried blend of Grenache, Cinsault, Clairette, Syrah and Picpoul. Full bodied and deeply concentrated in fresh, sun-kissed red-plum and blackberry flavors, it's a juicy, fruit-focused dry rosé that finishes on elegant notes of crushed limestone and salt. Delicious in any season, it should maintain at peak well through 2022.                      Anna Lee C. Iijima ",,Domaine des Carteresses 2020  Tavel,$24, Rhône Valley,92,Tavel,,Not rated yet [Add Your Review],Rosé,2020,Domaine des Carteresses
3,13%,"Coteaux d'Aix-en-Provence, Provence, France",750 ml,Rose, France,7/1/2021,"
                      With 70% Syrah in the blend, this wine has a rich texture and hints of tannins. It is dense with red-berry fruits, acidity and good concentration. This wine could age for a while, so try waiting to drink until 2022.                      Roger Voss ",Cuvée Prestige,Château de Fonscolombe 2020 Cuvée Prestige Rosé (Coteaux d'Aix-en-Provence),$35, Provence,92,Coteaux d'Aix-en-Provence,,Not rated yet [Add Your Review],Rosé,2020,Château de Fonscolombe
4,12.7%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Rose, US,7/1/2021,"
                      There's just a tinge of color to this wine, so little that some might mistake it for a white wine. The aromas offer pleasing notes of strawberry and rhubarb alongside a whiff of bubblegum. The palate is bone-dry and richly flavorful, with a big blast of puckering acidity tying it all together.                      Sean P. Sullivan ",And Why Am I Mr Pink,Underground Wine Project 2020 And Why Am I Mr Pink Rosé (Columbia Valley (WA)),$15, Washington,91, Columbia Valley,Columbia Valley (WA),Not rated yet [Add Your Review],Rosé,2020,Underground Wine Project
5,14%,"Côtes de Provence La Londe, Provence, France",750 ml,Rose, France,7/1/2021,"
                      This cru region within Côtes de Provence is noted for rich rosés, such as this one. This wine is dense, packed with red fruits and ripe with peppery Grenache. Red-currant acidity brings freshness at the end. Drink from late 2021. Organic.                      Roger Voss ",Faustine,Château les Mesclances 2020 Faustine Rosé (Côtes de Provence La Londe),$36, Provence,91,Côtes de Provence La Londe,,Not rated yet [Add Your Review],Rosé,2020,Château les Mesclances
6,13.1%,"El Dorado, Sierra Foothills, California, US",750 ml,Rose, US,7/1/2021,"
                      Rare for a rosé, this light-pink and light-bodied wine tops its fresh ginger and persimmon flavors with subtle oak spices like nutmeg and vanilla from being barrel fermented and aged on the lees. It's smooth on the palate and lingering on the finish.                      Jim Gordon ",Cinsault,Starfield 2019 Cinsault Rosé (El Dorado),$28, California,91, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Rosé,2019,Starfield
7,14.5%,"Côtes du Rhône, Rhône Valley, France",750 ml,Rose, France,7/1/2021,"
                      Vibrant raspberry and cassis flavors abound in this thirst-quenching, dry rosé composed of 70% Grenache, 20% Cinsault and 10% Syrah. It's fresh and pure in fruit but intensely mineral too, finishing on a long, exhilarating spray of cut stone and salt.                      Anna Lee C. Iijima ",,E. Guigal 2019 Rosé (Côtes du Rhône),$19, Rhône Valley,91,Côtes du Rhône,,Not rated yet [Add Your Review],Rosé,2019,E. Guigal
8,12.5%,"Coteaux d'Aix-en-Provence, Provence, France",750 ml,Rose, France,7/1/2021,"
                      The estate wine from this property, this is a blend of Syrah and Grenache. Ripe red-berry fruits are shot through with fresh, tangy acidity. With the fruitiness fully expressed, the wine is ready to drink.                      Roger Voss ",,Château Paradis 2020 Rosé (Coteaux d'Aix-en-Provence),$21, Provence,91,Coteaux d'Aix-en-Provence,,Not rated yet [Add Your Review],Rosé,2020,Château Paradis
9,10.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Rose, US,7/1/2021,"
                      Syrah makes up 90% of this wine, with the rest Sangiovese. Quite pale in color, the aromas offer notes of strawberry and cherry. A flavorful palate follows, with a zip of acidity. A portion of proceeds go to fighting cancer.                      Sean P. Sullivan ",Pink Street,City Limits 2020 Pink Street Rosé (Columbia Valley (WA)),$13, Washington,91, Columbia Valley,Columbia Valley (WA),Not rated yet [Add Your Review],Rosé,2020,City Limits
10,12.9%,"Central Coast, Central Coast, California, US",750 ml,Rose, US,7/1/2021,"
                      There's nothing typical about this yellow-orange-pink blend of 50% Grenache, 15% Grenache Blanc, 12% Cinsaut, 12% Mourvèdre, 8% Carignane and 3% Roussanne, which is aged in five-gallon glass demijohns and stirred monthly. Aromas of dried and rainy cement and orange peel lead into a very grippy and savory palate, full of more citrus peel, rocky earth and slightly nutty flavors.                      Matt Kettmann ",Vin Gris de Cigare Reserve,Bonny Doon 2016 Vin Gris de Cigare Reserve Rosé (Central Coast),$26, California,91, Central Coast,Central Coast,Not rated yet [Add Your Review],Rosé,2016,Bonny Doon
