,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Absolutely stunning, this gorgeous red has enticing aromas of wild rose, forest berries, new leather and camphor. Full-bodied and delicious, the smooth, structured palate is all about flavor, focus and finesse, doling out succulent black cherry, crushed raspberry, star anise and white pepper notes framed in tightly knit, refined tannins. Bright acidity keeps it impeccably balanced. Beautiful now and will continue to age and develop even more complexity for years to come. Drink 2024–2041.                      Kerin O’Keefe ",,Salvioni 2016  Brunello di Montalcino,$200, Tuscany,100,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2016,Salvioni
1,13%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      This compelling 38-year-old—recently released from the estate—boasts layers of complexity, depth and energy. Although it changes continuously in the glass, it features tertiary aromas of flint and tar along with pressed rose, truffle and a whiff of game. The smooth, elegant palate is remarkably fresh for its age, delivering dried cherry, spiced cranberry, tobacco and a light hint of game alongside silky tannins. Tangy acidity carries on through savory mineral close. A rare and rewarding experience.                      Kerin O’Keefe ",Riserva La Storica,Biondi-Santi 1983 Riserva La Storica  (Brunello di Montalcino),$1444, Tuscany,97,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,1983,Biondi-Santi
2,13.5%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of forest berries, rose and camphor with whiffs of underbrush and new leather slowly take shape on this radiant red. Elegant to the point of being almost ethereal, it's still youthfully austere, featuring tangy cranberry, sour cherry, orange zest and star anise before a black tea finish. Tightly wound, refined tannins and bright acidity provide the framework. This needs several years or more to fully come together and develop to its full potential. Drink 2028–2048.                      Kerin O’Keefe ",Riserva,Biondi-Santi 2013 Riserva  (Brunello di Montalcino),$654, Tuscany,97,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2013,Biondi-Santi
3,14%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Forest berry, truffle, botanical herb and new leather aromas shape the nose on this radiant, elegant red along with a whiff of cedar. The youthfully austere, vibrant palate offers juicy sour cherry, wild strawberry, cinnamon and star anise alongside taut, fine-grained tannins and bright acidity. Still young and primary at this point, it needs time to fully develop but shows great aging potential. Drink 2026–2036.                      Kerin O’Keefe ",,L'Aietta 2016  Brunello di Montalcino,N/A, Tuscany,97,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2016,L'Aietta
4,13.5%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Camphor, fragrant blue flower, new leather and baked plum aromas are front and center on this fragrant red. Savory and tangy, the elegantly structured, linear palate delivers succulent Marasca cherry, spiced cranberry, licorice and nutmeg framed in taut, polished tannins. One of the best Gran Selezione I've tasted, it's well-balanced and already approachable but also ageworthy, with bright acidity. Drink 2022– 2031.                      Kerin O’Keefe ",Gran Selezione,Colombaio di Cencio 2016 Gran Selezione  (Chianti Classico),$45, Tuscany,96,Chianti Classico,,Not rated yet [Add Your Review],Sangiovese,2016,Colombaio di Cencio
5,15%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      New leather, scorched earth, ripe berry and camphor aromas emerge on this full-bodied red, along with a heady whiff of violet. Showing the heat of the vintage, the bold palate features baked plum, fleshy Marasca cherry, truffle and tobacco alongside velvety tannins. You'll also detect the warmth of evident alcohol on the close, but the ripe, chewy fruit stands up to it. Drink through 2027.                      Kerin O’Keefe ",,Il Colle 2015  Brunello di Montalcino,N/A, Tuscany,95,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2015,Il Colle
6,14.5%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Firmly structured, this has aromas of graphite, truffle and wild herbs, with a whiff of saddle leather. Full-bodied and delicious, the structured palate delivers ripe Marasca cherry, blackberry jam, licorice and tobacco framed in tightly knit, fine-gained tannins. Drink 2023–2030.                      Kerin O’Keefe ",Riserva,Fattoi 2015 Riserva  (Brunello di Montalcino),$120, Tuscany,95,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2015,Fattoi
7,13.5%,"Rosso di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Intensely fragrant, this has enticing scents of rose, violet and woodland berries that gain complexity thanks to a whiff of camphor. It's savory and polished, offering juicy red cherry, pomegranate and star anise before a white pepper finish. Surprisingly tangy acidity for the hot vintage and smooth tannins keep it balanced. Drink through 2025.                      Kerin O’Keefe ",,Biondi-Santi 2017  Rosso di Montalcino,$118, Tuscany,94,Rosso di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2017,Biondi-Santi
8,14%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of violet, underbrush, menthol and dried tobacco leaf shape the nose on this medium-bodied red. Smooth and elegant, the palate features ripe Morello cherry, orange zest and licorice before finishing on a salty note. Taut, polished tannins and fresh acidity keep it balanced. It's already rather accessible but will also age well for another decade or more. Drink 2023–2031.                      Kerin O’Keefe ",,Le Macioche 2016  Brunello di Montalcino,$100, Tuscany,94,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2016,Le Macioche
9,14%,"Brunello di Montalcino, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Sunbaked earth, camphor, grilled porcini mushroom and blue flower aromas make their way to the forefront. Showing structure and finesse, the palate offers dried cherry, blood orange and star anise alongside fine-grained tannins and tangy acidity. Reflecting the hot vintage, it's already accessible but still offers good midterm aging potential. Drink through 2027.                      Kerin O’Keefe ",Riserva,Le Macioche 2015 Riserva  (Brunello di Montalcino),$135, Tuscany,94,Brunello di Montalcino,,Not rated yet [Add Your Review],Sangiovese,2015,Le Macioche
