,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      A single parcel of vines planted in 1970 is the basis of this oak-aged wine. Now five years old, it has ripe yellow fruits that are well integrated into the generous texture. Balanced and with a mineral and orange-zest texture, it ready to drink.                      Roger Voss ",Les Ruchons,Henri Bourgeois 2016 Les Ruchons  (Sancerre),$80, Loire Valley,95,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Henri Bourgeois
1,14%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      With its richness and dense minerality and texture, this is a powerfully ripe wine. The crisp texture and citrus flavors are balanced by the spice, taut texture and concentration. This wine will age further. Drink from 2022.                      Roger Voss ",Jadis,Henri Bourgeois 2018 Jadis  (Sancerre),$55, Loire Valley,94,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2018,Henri Bourgeois
2,14%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      With a little aging, this rich wine is full of ripe, spicy fruits. White-stone-fruit flavors vie with citrus and intense acidity. The wine has further aging potential, bringing with it a medley of fruits and a tight, mineral texture. Drink the wine from late 2021.                      Roger Voss ",Etienne Henri,Henri Bourgeois 2017 Etienne Henri  (Sancerre),$60, Loire Valley,94,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Henri Bourgeois
3,14.5%,"Los Carneros, Napa-Sonoma, California, US",750 ml,White, US,7/1/2021,"
                      This micro-lot wine was fermented and aged in a cigar-shaped barrel intended to enhance lees contact and add texture without overt oak. Floral and juicy in mandarin and blood orange, grapefruit and a bite of pear, it has lively acidity for days, offering a fresh, complex experience.                      Virginie Boone ",En Cigare,Cuvaison 2019 En Cigare Sauvignon Blanc (Los Carneros),$40, California,94, Napa-Sonoma,Los Carneros,Not rated yet [Add Your Review],Sauvignon Blanc,2019,Cuvaison
4,13.8%,"Rutherford, Napa, California, US",750 ml,White, US,7/1/2021,"
                      This is a textured and complex white that impresses from first sip. Lemon, lime and peach skin with a contrasting slap of legume meld together across a balanced, bright and silky finish.                      Virginie Boone ",Jannine Bovet Reserve Home Ranch,Round Pond 2019 Jannine Bovet Reserve Home Ranch Sauvignon Blanc (Rutherford),$45, California,93, Napa,Rutherford,Not rated yet [Add Your Review],Sauvignon Blanc,2019,Round Pond
5,13%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      A spicy, perfumed wine from a small parcel of vines, this is just reaching maturity. The fruit has now softened into the minerality while keeping intensity. This is a stylish wine, rich while well balanced. Drink now.                      Roger Voss ",Famille Bourgeois Les Côtes au Valets,Henri Bourgeois 2016 Famille Bourgeois Les Côtes au Valets  (Sancerre),$80, Loire Valley,93,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Henri Bourgeois
6,14%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      From vines grown on flint soil, this wine is tight and mineral, with a texture that is still young. Richness will open out as the wine matures further and the textures and white-fruit flavors soften. Drink from 2023.                      Roger Voss ",d'Antan,Henri Bourgeois 2018 d'Antan  (Sancerre),$55, Loire Valley,93,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2018,Henri Bourgeois
7,13.5%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      The steep Monts Damnés vineyard is close to the Bourgeois winery in the village of Chavignol. Young and with a tight texture very much intact, this wine is set for some aging. Fruit and minerality vie for prominence, giving a vivacious wine that will be ready from 2023.                      Roger Voss ",La Côte des Monts Damnés,Henri Bourgeois 2019 La Côte des Monts Damnés  (Sancerre),$38, Loire Valley,93,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2019,Henri Bourgeois
8,13.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,White, US,7/1/2021,"
                      Aromatically sharp and grassy, with the pungency of the grape on full display, this fills in the palate with lush, tangy citrus flavors. Lime, lemon and grapefruit are here in abundance, with sappy acidity pulling everything through a lingering finish. Once again Andrew Rich proves the quality and potential for Oregon versions of this grape.                      Paul Gregutt ",,Andrew Rich 2019 Sauvignon Blanc (Willamette Valley),$24, Oregon,92, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2019,Andrew Rich
9,13%,"Los Olivos District, Central Coast, California, US",750 ml,White, US,7/1/2021,"
                      Tons of grassy elements play on the nose of this zesty and indeed zingy bottling, as cut lawn and lemongrass lead into aromas of rainy cement and candied melon. The palate zips with texture and flavor, offering both lime-peel and peach elements.                      Matt Kettmann ",Zingy,Buttonwood Farm 2020 Zingy Sauvignon Blanc (Los Olivos District),$24, California,92, Central Coast,Los Olivos District,Not rated yet [Add Your Review],Sauvignon Blanc,2020,Buttonwood Farm
10,14%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      Full and ripe, this wine is generous and tautly textured. With its concentration, rich apple and citrus flavors and sense of power, the wine is impressively dense. Drink from 2022.                      Roger Voss ",La Bourgeoise,Henri Bourgeois 2018 La Bourgeoise  (Sancerre),$40, Loire Valley,92,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2018,Henri Bourgeois
11,13.5%,"Pouilly-Fumé, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      This wine is young, ripe with apple and citrus fruits and tangy, zesty acidity. At this early stage, the wine has a strong herbaceous character that will soften while leaving behind a tight, mineral texture. Drink from 2022.                      Roger Voss ",Les Chaumierres,André et Edmond Figeat 2019 Les Chaumierres  (Pouilly-Fumé),$25, Loire Valley,91,Pouilly-Fumé,,Not rated yet [Add Your Review],Sauvignon Blanc,2019,André et Edmond Figeat
12,14%,"Sancerre, Loire Valley, France",750 ml,White, France,7/1/2021,"
                      This wine is now ready to drink. With ripe apple and smooth citrus flavors, it has density and a texture that has now softened. Full, rich and intense, the wine is packed with fruit and acidity.                      Roger Voss ",La Bourgeoise,Henri Bourgeois 2017 La Bourgeoise  (Sancerre),$40, Loire Valley,91,Sancerre,,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Henri Bourgeois
