,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.2%,"Mendocino Ridge, Mendocino County, California, US",750 ml,Red, US,7/1/2021,"
                      This extraordinary wine offers a tantalizing, bold, black-pepper aroma that leads to deep, just-ripe black-fruit flavors and an array of clove, espresso and earth accents that give it delicious complexity. It is tightly wrapped in fine-grained tannins at this point, but will bring out more complexity and smoothness with time. Best from 2026.                      Jim Gordon ",Valenti Ranch,Drew 2018 Valenti Ranch Syrah (Mendocino Ridge),$55, California,97, Mendocino County,Mendocino Ridge,Not rated yet [Add Your Review],Syrah,2018,Drew
1,12.9%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Fantastically fresh and snappy aromas of cracked pepper, black raspberry, purple flowers and nori wrap show on the show-stopping nose of this bottling. There's a feathery acidity that floats across the palate, sprinkling lovely lavender, rosemary, menthol and crisp pluot flavors all the way into a delicate finish.                      Matt Kettmann ",Ascona Vineyard,Madson 2019 Ascona Vineyard Syrah (Santa Cruz Mountains),$32, California,96, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Syrah,2019,Madson
2,12.77%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This winery's bottlings only seem to grow more interesting and elegant with time, and this vintage, which includes 11% Viognier, is riding its potentially extended peak. Aromas of nori wrap, peppercorn and seashore wrap around singed boar and muddled red fruit on the nose, while the palate pops with dried cranberry, orange rind, seared lamb and hibiscus.                      Matt Kettmann ",La Fai Kimsey Vineyard,Boscoe 2015 La Fai Kimsey Vineyard Syrah (Ballard Canyon),$75, California,95, Central Coast,Ballard Canyon,Not rated yet [Add Your Review],Syrah,2015,Boscoe
3,15.5%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This bottling from what's now known as Alisos Canyon begins with a tremendous display of cracked pepper on the nose, which also features elderberry and charred wood. That peppercorn spice pops on the palate, adding a savory kick to the roasted black-raspberry and black-plum flavors, with soy, toasted wood and lavender also in play.                      Matt Kettmann ",White Hawk Vineyard,Glunz 2018 White Hawk Vineyard Syrah (Santa Barbara County),$35, California,94, Central Coast,Santa Barbara County,Not rated yet [Add Your Review],Syrah,2018,Glunz
4,15.2%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Loads of lilac and white pepper waft across the nose of this bottling, giving depth and life to the acai and other dark-purple-fruit aromas. There's extreme complexity to the lavender and rosemary blossoms elements of the palate, where a rich boysenberry-sorbet and crushed herb core is framed by sticky tannins. Much more to come here. Drink 2024–2033.                      Matt Kettmann ",Upslope,Jaffurs 2018 Upslope Syrah (Santa Barbara County),$75, California,94, Central Coast,Santa Barbara County,Not rated yet [Add Your Review],Syrah,2018,Jaffurs
5,14.4%,"Red Hills, Lake County, California, US",750 ml,Red, US,7/1/2021,"
                      This luxurious and deeply concentrated wine is easy to love, from the first whiff of bursting ripe black cherries and blueberries to the saturated palate of almost jammy black-fruits and dark chocolate, to the lingering, generous finish. It is quite full bodied, boasting melted tannins and a mouthfilling richness.                      Jim Gordon ",,Sol Rouge 2017 Syrah (Red Hills),$35, California,94, Lake County,Red Hills,Not rated yet [Add Your Review],Syrah,2017,Sol Rouge
6,15.5%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,7/1/2021,"
                      Potent and polished, this full-bodied wine includes 7% Viognier. It sprinkles cinnamon, ginger and black pepper over delicious, dark blackberry and blueberry flavors for an especially tasty and spicy profile. Fine-grained tannins and a rich mouthfeel keep it going through a lingering finish. Best through at least 2026.                      Jim Gordon ",The Brawler,Prospect 772 2018 The Brawler Syrah (Sierra Foothills),$39, California,94, Sierra Foothills,Sierra Foothills,Not rated yet [Add Your Review],Syrah,2018,Prospect 772
7,14.4%,"Edna Valley, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Peppercorn, braised lamb, lavender, baking-spice and dark-berry aromas make for an authentically cool-climate experience on the nose of this bottling. Iodine and bloody meat flavors meet with elderberry on the savory sip.                      Matt Kettmann ",,Kynsi 2017 Syrah (Edna Valley),$34, California,94, Central Coast,Edna Valley,Not rated yet [Add Your Review],Syrah,2017,Kynsi
8,12.77%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Though David Haskell's Syrahs aim for elegance, they are also quite fun and engaging. Light in the glass, this one, which includes 7% Viognier, starts with aromas of fresh red currant, raspberry and wild sage. The palate zips with energy, flashing white pepper spice against flavors of cherry compote and orange rind.                      Matt Kettmann ",La Fai Kimsey Vineyard,Boscoe 2017 La Fai Kimsey Vineyard Syrah-Viognier (Ballard Canyon),$60, California,94, Central Coast,Ballard Canyon,Not rated yet [Add Your Review],Syrah-Viognier,2017,Boscoe
9,14.1%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,Red, US,7/1/2021,"
                      A sensational value, this is a dark, aromatic and richly fruity wine, with potent flavors of roasted fruits and scorched earth. It avoids bitterness throughout a long finish, laced with anise and a hint of lemon. The power and balance are exceptional.                      Paul Gregutt ","4-2,A","Quady North 2017 4-2,A Syrah (Rogue Valley)",$25, Oregon,93, Southern Oregon,Rogue Valley,Not rated yet [Add Your Review],Syrah,2017,Quady North
10,14.8%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Lavender and lilac aromas mesh into blueberry and cracked pepper on the cohesive nose of this bottling. Light pepper and game flavors snuggle around the brisk elderberry and purple-flower aspects of the palate.                      Matt Kettmann ",Derby Vineyard,Derby 2017 Derby Vineyard Syrah (Paso Robles),$46, California,93, Central Coast,Paso Robles,Not rated yet [Add Your Review],Syrah,2017,Derby
11,14.8%,"Sonoma Coast, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Opening in an unmistakable whiff of game and garrigue, this hearty, full-bodied wine is richly layered in black cherry and berry, with a length of tannin. Tobacco leaf, black pepper and leathery texture add to the rounded intensity, balanced by nuanced acidity.                      Virginie Boone ",,Thirty-Seven 2017 Syrah (Sonoma Coast),$24, California,93, Sonoma,Sonoma Coast,Not rated yet [Add Your Review],Syrah,2017,Thirty-Seven
12,14%,"Crozes-Hermitage, Rhône Valley, France",750 ml,Red, France,7/1/2021,"
                      Voluminous yet fresh, this full-bodied Syrah highlights ripe, perfumed plum and blackberry flavors shaded by graphite, cedar and crushed peppercorns. Matured in a mix of concrete and large-format oak barrels, it's a supple, pure-fruited red edged by fine, silky tannins and a spicy licorice finish. It drinks beautifully in youth but should hold through 2028.                      Anna Lee C. Iijima ",Les Troix Chênes,Emmanuel Darnaud 2018 Les Troix Chênes  (Crozes-Hermitage),$40, Rhône Valley,93,Crozes-Hermitage,,Not rated yet [Add Your Review],Syrah,2018,Emmanuel Darnaud
13,15.7%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      From a new line of wines by Edgar Torres, this bottling begins with charred lamb and beef aromas as well as dark berry, black pepper and singed violet on the nose. Roasted boysenberry and oaky vanilla meet with peppery spices on the palate, which is quite rich but layered in texture and herb.                      Matt Kettmann ",Dreams,Songs 2018 Dreams Syrah (Santa Barbara County),$75, California,93, Central Coast,Santa Barbara County,Not rated yet [Add Your Review],Syrah,2018,Songs
14,15.4%,"Santa Maria Valley, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This sure-to-be long-lasting expression of this historic vineyard kicks off with snappy aromas of black raspberry, white pepper and charred meat on the nose. There is a fresh and edgy quality to the hearty palate, full of charred berries, black pepper and rounded violet flavors. It opens steadily with air. Drink now through 2038.                      Matt Kettmann ",Bien Nacido Vineyard,Jaffurs 2018 Bien Nacido Vineyard Syrah (Santa Maria Valley),$50, California,93, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Syrah,2018,Jaffurs
15,13.6%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,7/1/2021,"
                      This is the winery's reserve, and a shining example of the exceptional quality of Applegate Valley Syrah. Dense and compact fruit flavors of blueberry and blackberry, accented with barrel flavors from aging in 50% new French oak. Licorice and coffee liqueur are in the mix, and the wild yeast ferment adds further texture and length.                      Paul Gregutt ",Mae's Vineyard Flagship,Quady North 2016 Mae's Vineyard Flagship Syrah (Applegate Valley),$65, Oregon,93, Southern Oregon,Applegate Valley,Not rated yet [Add Your Review],Syrah,2016,Quady North
16,12.8%,"Santa Maria Valley, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Fresh aromas of black raspberry, violet and wisteria get sprinkled with white pepper and wet earth on the nose of this bottling from a historic vineyard deep in the valley. Buoyant acidity and sandy tannins frame the sip, where blueberry and lavender flavors stay fun and fresh.                      Matt Kettmann ",Rancho Sisquoc,Scar of the Sea 2019 Rancho Sisquoc Syrah (Santa Maria Valley),$28, California,93, Central Coast,Santa Maria Valley,Not rated yet [Add Your Review],Syrah,2019,Scar of the Sea
17,12.74%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      David Haskell's elegant take on Syrah, in this case with 5% Viognier, presents crisp yet dark cranberry and pomegranate aromas as well as white pepper, green peppercorns and wild thyme on the nose. The herbal hints of sage and juniper show on the sip as well, where a slightly candied cherry fruit also pops out.                      Matt Kettmann ",La Fai Kimsey Vineyard,Boscoe 2016 La Fai Kimsey Vineyard Syrah (Ballard Canyon),$65, California,93, Central Coast,Ballard Canyon,Not rated yet [Add Your Review],Syrah,2016,Boscoe
18,14%,"Alentejano, Portugal",750 ml,Red, Portugal,7/1/2021,"
                      The top wine from this estate, it got its name when it was created and Syrah was not fully approved in Alentejo. Things move on, but the name of this rich, structured and impressive wine lives on. The wood aging and the rich berry fruits have blended beautifully into a wine that is mature but that has by no means lost its rich fruitiness. Drink now.                      Roger Voss ",Incógnito,Cortes de Cima 2013 Incógnito Syrah (Alentejano),$110,Alentejano,93,,,Not rated yet [Add Your Review],Syrah,2013,Cortes de Cima
19,15.7%,"Adelaida District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Aromas of dark berry, white pepper, violet pastis and rich baking spice on warm pastry arise from the nose of this bottling, which includes 14% Counoise. It's full throated on the palate, loaded with blackberry pie, mace and wood spice. The palate continues to open with air. Drink now through 2033.                      Matt Kettmann ",Noir,Kukkula 2018 Noir Syrah (Adelaida District),$55, California,93, Central Coast,Adelaida District,Not rated yet [Add Your Review],Syrah,2018,Kukkula
20,14.9%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Snappy black-raspberry and boysenberry aromas are dusted in light licorice, black-pepper and pie-crust tones on the nose of this bottling. The palate is extremely complex, with a baked fruit core that's lifted by thyme and pepper, as acidity and herbs cut through the richness.                      Matt Kettmann ",Thompson Vineyard,Jaffurs 2018 Thompson Vineyard Syrah (Santa Barbara County),$50, California,93, Central Coast,Santa Barbara County,Not rated yet [Add Your Review],Syrah,2018,Jaffurs
21,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,7/1/2021,"
                      Aromas of underbrush, blackberry, ground pepper, blue flowers and mocha emerge from the glass. Elegantly structured, the velvety palate offers blackberry compote, fleshy black cherry, French oak and toasted nuts alongside smooth, enveloping tannins. It closes on notes of blood orange and coffee bean. Drink through 2026.                      Kerin O’Keefe ",Collezione Privata,Isole e Olena 2016 Collezione Privata Syrah (Toscana),$61, Tuscany,93,Toscana,,Not rated yet [Add Your Review],Syrah,2016,Isole e Olena
22,13.8%,"Mendocino Ridge, Mendocino County, California, US",750 ml,Red, US,7/1/2021,"
                      Firm, somewhat lean and tightly wound with tannins, this wine fermented with 50% whole clusters. It boasts complex earth, black pepper, beef jus and blackberry flavors on a grippy texture and will need extra time to mature in the bottle. Best to drink from 2025.                      Jim Gordon ",Perli Vineyard,Drew 2018 Perli Vineyard Syrah (Mendocino Ridge),$50, California,92, Mendocino County,Mendocino Ridge,Not rated yet [Add Your Review],Syrah,2018,Drew
23,15.1%,"Los Olivos District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Smoothly integrated aromas of cassis, dark violet, lilac and grilled meats show on the nose of this bottling. There's a pleasantly gritty tone to the tannins, which frame the ripe and accessible blackberry-sorbet and purple-flower flavors.                      Matt Kettmann ",Family Reserve,Vincent Vineyards 2018 Family Reserve Syrah (Los Olivos District),$40, California,92, Central Coast,Los Olivos District,Not rated yet [Add Your Review],Syrah,2018,Vincent Vineyards
