,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,12%,"Carneros, Napa-Sonoma, California, US",750 ml,Sparkling, US,7/1/2021,"
                      Entirely estate grown, this combines 55% Pinot Noir and 45% Chardonnay into a complex and persistently bright, lively wine that lingers on the palate. Beautifully aromatic, it is silky smooth in feel, with flavors of wet stone and oyster shell alongside peach, strawberry, tangerine and a tease of ginger.                      Virginie Boone ",Le Rêve Brut Rosé,Domaine Carneros 2015 Le Rêve Brut Rosé Sparkling (Carneros),$140, California,98, Napa-Sonoma,Carneros,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",2015,Domaine Carneros
1,12%,"Germany, Germany",750 ml,Sparkling, Germany,7/1/2021,"
                      Disgorged in April 2020, this piercing traditional-method sekt spent roughly five years on its lees developing seductive, smoky nuances of brioche and toast. A blend of 79% Pinot Noir and 21% Pinot Meunier, it's a bracing, invigorating dry sip packed with lemon and tart raspberry flavors. Delicate bubbles and bracing acidity linger long on the finish. Delicious now but should gain earthier, delicately caramelized complexities through the next decade and longer.                      Anna Lee C. Iijima ",Cuvée Katharina Brut Nature,Raumland 2014 Cuvée Katharina Brut Nature Sparkling (Germany),$59,Germany,95,,,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",2014,Raumland
2,12%,"Germany, Germany",750 ml,Sparkling, Germany,7/1/2021,"
                      Exuberant notes of raspberry and cherry blossoms abound in this traditional-method Pinot Noir fermented in stainless steel and kept on its lees for three years. A blend of 2014 and 2015 vintages, it's a lavishly floral, fresh-fruited sparkler braced by a piercing line of acidity and cooling mineral undertones. At peak now through 2030 but it should hold longer as well.                      Anna Lee C. Iijima ",Rosé Prestige Brut,Raumland NV Rosé Prestige Brut Sparkling (Germany),$69,Germany,95,,,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",,Raumland
3,12.5%,"Willamette Valley, Willamette Valley, Oregon, US",750 ml,Sparkling, US,7/1/2021,"
                      This exciting new release is estate-grown, barrel-fermented and aged in neutral oak prior to bottling ahead of second fermentation. Part of the winery's Grower Series, it's a rich and creamy wine, lightly toasty with flavors of lemon, apple and white melon. The crisp acidity ensures a decade or more of life ahead.                      Paul Gregutt ",Blanc de Noirs,Argyle 2016 Blanc de Noirs Sparkling (Willamette Valley),$35, Oregon,93, Willamette Valley,Willamette Valley,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",2016,Argyle
4,13%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Sparkling, US,7/1/2021,"
                      This stunning traditional-method sparkling wine is made from 63% Pinot Noir, 25% Chardonnay and 12% Pinot Meunier. Rich aromas of Fino Sherry-dipped almonds, seared lemon and ripe yellow apple dazzle on the nose. The savory palate carries a salted, blanched almond note lifted by a squeeze of lemon and framed by a kiss of toast.                      Alexander Peartree ",Brut Méthode Champenoise,Damiani 2013 Brut Méthode Champenoise  (Finger Lakes),$38, New York,92, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],"Champagne Blend, Sparkling",2013,Damiani
5,12%,"North Fork of Long Island, Long Island, New York, US",750 ml,Sparkling, US,7/1/2021,"
                      Made entirely from Pinot Noir, this rich sparkler dazzles in aromas of Sherry-dipped almonds, lemon custard and toasted brioche. It's creamy, rounded and full in feel on the palate, with a deft mix of ripe lemon, nut and toast flavors that show tension and depth. A savory, salty note extends on the lingering finish.                      Alexander Peartree ",Méthode Champenoise Cuvée,Lenz 2005 Méthode Champenoise Cuvée Sparkling (North Fork of Long Island),$60, New York,92, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",2005,Lenz
6,12%,"Finger Lakes, Finger Lakes, New York, US",750 ml,Sparkling, US,7/1/2021,"
                      This blend of 75% Pinot Noir and 25% Pinot Meunier offers bright, well-defined aromas of lemon peel and yellow apple wrapped in a warm, toasted brioche accent. The palate boasts a persistent perlage and a delicate tension that elongates the tense citrus and apple finish.                      Alexander Peartree ",Blanc de Noirs Méthode Champenoise,Dr. Konstantin Frank 2016 Blanc de Noirs Méthode Champenoise  (Finger Lakes),$40, New York,91, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],"Champagne Blend, Sparkling",2016,Dr. Konstantin Frank
7,12.5%,"North Fork of Long Island, Long Island, New York, US",750 ml,Sparkling, US,7/1/2021,"
                      This is a deliciously savory, mouthwatering sparkling rosé made from Chardonnay, Pinot Noir and Pinot Meunier. Warm, toasty brioche and sea salt meld with red apple peel and white currant, with a creamy mousse guiding these flavors along to a long, saline-infused finish.                      Alexander Peartree ",Topaz Impérial Méthode Champenoise,Sparkling Pointe 2017 Topaz Impérial Méthode Champenoise  (North Fork of Long Island),$44, New York,91, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],"Champagne Blend, Sparkling",2017,Sparkling Pointe
8,13%,"Yamhill-Carlton, Willamette Valley, Oregon, US",750 ml,Sparkling, US,7/1/2021,"
                      A pale copper color, with pretty fruit flavors of apple and melon. This is a clean and refreshing wine, lightly toasty, all Pinot Noir, though with flavors more reminiscent of a Chardonnay-based sparkling wine. This spent three years on the yeast and is labeled “First Disgorge.”                      Paul Gregutt ",Extra Brut Blanc de Noir,Carlton Hill 2016 Extra Brut Blanc de Noir Sparkling (Yamhill-Carlton),$60, Oregon,90, Willamette Valley,Yamhill-Carlton,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",2016,Carlton Hill
9,12.5%,"Val de Loire, Loire Valley, France",750 ml,Sparkling, France,7/1/2021,"
                      Grower Jérôme Choblet crafts this crisp, fresh and perfumed sparkling wine from vineyards in the Muscadet region. The local Melon de Bourgogne grape combines with Grolleau Gris and Chardonnay in a wine with white fruits, lightly creamy and fresh at the end. Drink now.                      Roger Voss ",Luminescence Brut,Domaine des Herbauges NV Luminescence Brut Sparkling (Val de Loire),$20, Loire Valley,90,Val de Loire,,Not rated yet [Add Your Review],"Sparkling Blend, Sparkling",,Domaine des Herbauges
