,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Smoky, toasty black-fruit aromas are lightly charred but calm and stately. This has bounce to its step, but mostly the palate is dry, tannic and aggressive: an indication that this needs more time in bottle. Toasty blackberry flavors are backed by savory meatiness, while this shows chewy tannins on a warm finish with lots of depth. Best from 2023–2032.                      Michael Schachner ",Christina Colección Familiar,Astrales 2017 Christina Colección Familiar  (Ribera del Duero),$85, Northern Spain,94,Ribera del Duero,,Not rated yet [Add Your Review],Tempranillo,2017,Astrales
1,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Blackberry and cassis aromas are accompanied by savory notes and leathery warmth. Going in a different direction, the palate is crisp, tight and dry, with strapping muscularity. Black plum, wild berry, earthy spice, lemony oak and chocolaty support combine to create a superb flavor profile, while this is focused and firm on the finish. Drink through 2028.                      Michael Schachner ",,Garmón 2017  Ribera del Duero,$85, Northern Spain,94,Ribera del Duero,,Not rated yet [Add Your Review],"Tinto Fino, Tempranillo",2017,Garmón
2,14%,"Marlborough, New Zealand",750 ml,Red, New Zealand,7/1/2021,"
                      This offers a heady bouquet of scrubby herbs and flowers with red currants, cassis, black olives and something mineral and slightly charred. It's full bodied with tangy, brambly fruit tempered by sappy, savory tannins. There's poise amidst power and a lengthy finish. A European vibe with the fruitiness of the New World. Drink with a wide range of Mediterranean cuisine until 2030.                      Christina Pickard ",,Hans Family Estate 2016 Tempranillo (Marlborough),$42,Marlborough,94,,,Not rated yet [Add Your Review],Tempranillo,2016,Hans Family Estate
3,13.6%,"Beechworth, Victoria, Australia",750 ml,Red, Australia,7/1/2021,"
                      From the cool climes and interesting soils of Beechworth in Victoria, this is a high-toned, lucid Tempranillo with a hearty dose of varietal charm. It weaves strawberry and cherry fruit with cedar, cigar box, baking spice and a meaty undertone. It's medium weight, with a supple, well-placed tannins and sappy, savory nuances which add complexity to the bouncy berry fruit. It's a fresh, versatile food wine that scribbles outside Aussie red-wine lines.                      Christina Pickard ",,Fighting Gully Road 2016 Tempranillo (Beechworth),$32, Victoria,93,Beechworth,,Not rated yet [Add Your Review],Tempranillo,2016,Fighting Gully Road
4,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Ripe, earthy black-plum and blackberry aromas are backed by hints of prune and chocolate. Gravelly tannins and choppy acidity combine to create roughness on the palate, while this tastes of baked black fruits backed by savory depth and toasted richness that rises up the longer this sits. Chewy tannins make for a dense finish; drink through 2028.                      Michael Schachner ",,Astrales 2017  Ribera del Duero,$65, Northern Spain,93,Ribera del Duero,,Not rated yet [Add Your Review],Tempranillo,2017,Astrales
5,14.1%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Gorgeous blueberry and black-cherry flavors light up this rich, velvet-textured wine, giving it a wonderful, saturated fruit core blanketed by fine-grained tannins that promise a long period of flavor evolution in the cellar. Best from 2024.                      Jim Gordon ",Estate,Las Positas 2017 Estate Tempranillo (Livermore Valley),$48, California,93, Central Coast,Livermore Valley,Not rated yet [Add Your Review],Tempranillo,2017,Las Positas
6,15%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      Thick and deep aromas of black currant and blueberry meet with minty cocoa and wood spice on the nose of this bottling, which includes 12% Grenache. Fine-grained tannins frame the unctuous cassis flavors, whose ripe and viscous core is further balanced by a blast of acidity.                      Matt Kettmann ",Sympatico,Caliza 2018 Sympatico Tempranillo (Paso Robles Willow Creek District),$65, California,92, Central Coast,Paso Robles Willow Creek District,Not rated yet [Add Your Review],Tempranillo,2018,Caliza
7,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Alluring black-cherry and blackberry aromas are accented by orange-peel and baking-spice notes, forming a complex nose. A tight, drawing palate with raw tannins is clampy, while this crianza tastes of blackberry, black plum and prune prior to a dry, drawing finish. Drink through 2028.                      Michael Schachner ",Crianza,Valduero 2017 Crianza  (Ribera del Duero),$55, Northern Spain,92,Ribera del Duero,,Not rated yet [Add Your Review],Tempranillo,2017,Valduero
8,14.5%,"Ribera del Duero, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Floral plum and berry flavors are unusually candied and less rich than what most Moro wines have delivered in the past. A grabby, pinching palate is clamping, while this offers oaky plum and raspberry flavors accented by minty green and herbal notes.                      Michael Schachner ",Vendimia Seleccionada,Emilio Moro 2017 Vendimia Seleccionada  (Ribera del Duero),$50, Northern Spain,90,Ribera del Duero,,Not rated yet [Add Your Review],Tempranillo,2017,Emilio Moro
9,13.5%,"Rioja, Northern Spain, Spain",750 ml,Red, Spain,7/1/2021,"
                      Fully ripe aromas of plum and berry fruits are earthy and suggest prune, lactic oak and a hint of paint. This reserva from a marginal vintage is full and round, with honest acidity. Dried flavors of blackberry and raisin are leathery and salty, while spice-cake notes and a hint of oxidation appear on the finish; drink sooner rather than later.                      Michael Schachner ",Monte Real Reserva,Bodegas Riojanas 2017 Monte Real Reserva  (Rioja),$25, Northern Spain,90,Rioja,,Not rated yet [Add Your Review],Tempranillo,2017,Bodegas Riojanas
10,14.8%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,7/1/2021,"
                      Concentrated and firmly tannic, this bold and focused wine offers brilliant black- and red-fruit flavors that are generously accented by black pepper, wood char and anise. Nicely layered and complex, it is also built for aging. Best from 2024.                      Jim Gordon ",Estate Grown,Starfield 2018 Estate Grown Tempranillo (El Dorado),$32, California,90, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Tempranillo,2018,Starfield
11,14.7%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,5/1/2021,"
                      This massive wine offers deep, dark-fruit flavors and hauntingly floral and spicy accents on a full body buoyed by moderate tannins and a velvety, gripping texture. There's no hurry to drink this concentrated and well-structured wine: best after 2025.                      Jim Gordon ",Estate,Miraflores 2017 Estate Tempranillo (El Dorado),$32, California,92, Sierra Foothills,El Dorado,Not rated yet [Add Your Review],Tempranillo,2017,Miraflores
12,15%,"Templeton Gap District, Central Coast, California, US",750 ml,Red, US,5/1/2021,"
                      Tart black plum, cola, dried herbs and a rocky minerality greet the nose in this bottling. There is a firm and rocky grip to the palate, which contrasts the fresh blueberry flavor. It needs a tad more time, but will drink well for at least a decade. Drink 2022–2033.                      Matt Kettmann ",,Four Lanterns 2018 Tempranillo (Templeton Gap District),$52, California,92, Central Coast,Templeton Gap District,Not rated yet [Add Your Review],Tempranillo,2018,Four Lanterns
