,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,12.5%,"Jurançon, Southwest France, France",750 ml,Dessert, France,7/1/2021,"
                      The wine is just now ready to drink. Baked-apple flavors mingle with tropical fruits such as mango and lychee. Pepper and a hint of spice give the wine a twist. It finishes with intense acidity that leaves freshness.                      Roger Voss ",Anie d'Ange,Domaine Coustarret 2017 Anie d'Ange  (Jurançon),$39, Southwest France,94,Jurançon,,Not rated yet [Add Your Review],"Gros and Petit Manseng, White Blend",2017,Domaine Coustarret
1,13%,"Jurançon Sec, Southwest France, France",750 ml,White, France,7/1/2021,"
                      Luscious orange and honey flavors flow from this dry wine. With its blend of the two Mansengs, Gros and Petit, and the rare Petit Courbu, it has richness as well as a tight dry, fresh character. The wine is just ready to drink. Organic.                      Roger Voss ",Vitatge Vielh,Lapeyre 2017 Vitatge Vielh  (Jurançon Sec),$26, Southwest France,93,Jurançon Sec,,Not rated yet [Add Your Review],White Blend,2017,Lapeyre
2,12.5%,"Jurançon, Southwest France, France",750 ml,Dessert, France,7/1/2021,"
                      This floral wine offers great fruits as well as hints of honey. Produced from late-harvest fruit, the wine has concentration as well as a good balance between freshness and richness. Drink this wine from 2022.                      Roger Voss ",Anie d'Ange,Domaine Coustarret 2018 Anie d'Ange  (Jurançon),$39, Southwest France,93,Jurançon,,Not rated yet [Add Your Review],"Gros and Petit Manseng, White Blend",2018,Domaine Coustarret
3,12%,"Adelaide, South Australia, Australia",750 ml,Dessert, Australia,7/1/2021,"
                      This full-throttle sticky, as the Aussies say, is a blend of Viognier, Sauvignon Blanc, Sémillon and Pinot Gris. It's late picked with some botrytis left to form, giving it added complexity. Radiant amber and green-rimmed in glass, it opens with notes of roasted salted nuts, lemon curd, marmalade and marzipan with the earthy funk of Noble Rot. The palate is ultrarich and luscious with intense sweetness, like it could be poured over a bowl of ice cream. Sip with a nutty, citrusy dessert or aged cheese.                      Christina Pickard ",The Noble Mud Pie,D'Arenberg 2017 The Noble Mud Pie White (Adelaide),$20, South Australia,93,Adelaide,,Not rated yet [Add Your Review],White Blend,2017,D'Arenberg
4,14%,"Jurançon Sec, Southwest France, France",750 ml,White, France,7/1/2021,"
                      The first impression in this wine is richness. Texture is dense and the dry wine is packed with ripe white and mango fruits, spice and honey. It's a little young, so drink from 2022.                      Roger Voss ",Renaissance,Domaine Coustarret 2018 Renaissance  (Jurançon Sec),$34, Southwest France,92,Jurançon Sec,,Not rated yet [Add Your Review],White Blend,2018,Domaine Coustarret
5,15%,"Vin Santo del Chianti Classico, Tuscany, Italy",375 ml,Dessert, Italy,7/1/2021,"
                      Made of 60% Trebbiano and 40% Malvasia grapes, this has aromas recalling dried apricot, vanilla and toasted almond. The opulent palate offers acacia honey, apricot jam, caramel and candied orange peel. It's well-balanced with a long finish.                      Kerin O’Keefe ",,Volpaia 2014  Vin Santo del Chianti Classico,$61, Tuscany,92,Vin Santo del Chianti Classico,,Not rated yet [Add Your Review],White Blend,2014,Volpaia
6,15.5%,"Vin Santo del Chianti Classico, Tuscany, Italy",500 ml,Dessert, Italy,7/1/2021,"
                      A 50/50 blend of dried Trebbiano and Malvasia grapes, this dessert wine opens with inviting aromas of maple syrup, toasted hazelnut and marzipan. The concentrated palate offers chestnut honey, dried fig and sweet almond flavors.                      Kerin O’Keefe ",,Losi Querciavalle 2006  Vin Santo del Chianti Classico,N/A, Tuscany,91,Vin Santo del Chianti Classico,,Not rated yet [Add Your Review],White Blend,2006,Losi Querciavalle
7,13%,"Toscana, Tuscany, Italy",750 ml,White, Italy,7/1/2021,"
                      Made with organically grown Vermentino and Colombana grapes, this lovely, tangy white offers aromas of yellow stone fruit, citrus and Mediterranean herbs. On the savory palate, fresh acidity accompanies ripe apricot, grapefruit and almond before an orange drop candy close.                      Kerin O’Keefe ",Fonte delle Donne,Fattoria Fibbiano 2019 Fonte delle Donne White (Toscana),$20, Tuscany,91,Toscana,,Not rated yet [Add Your Review],White Blend,2019,Fattoria Fibbiano
8,13.5%,"Jurançon Sec, Southwest France, France",750 ml,White, France,7/1/2021,"
                      While this is a rich wine, it always keeps freshness in mind. That shows in the orange-zest tang and passion-fruit flavor. Like so many wines, even dry ones, made mainly from Petit Manseng, it has a touch of honey. Drink from late 2021.                      Roger Voss ",Renaissance,Domaine Coustarret 2017 Renaissance  (Jurançon Sec),$34, Southwest France,91,Jurançon Sec,,Not rated yet [Add Your Review],White Blend,2017,Domaine Coustarret
9,13%,"Marlborough, New Zealand",750 ml,White, New Zealand,7/1/2021,"
                      This entry level label from Marlborough winery Huia consistently delivers bang for buck. This vintage the blend is dominated by Gruner Veltliner, trailed by Sauvignon Blanc with a little Pinot Gris, Chardonnay and Riesling for a tasty, balanced drop. Delicate aromas of honey, ginger and sun-kissed orchard fruit and their blossoms lead. An almost unexpected dagger of acidity slices through the bright apple, pear and citrus fruit on the palate but is neatly balanced by a gentle textural element and a lengthy finish.                      Christina Pickard ",Tangle Made With Organic Grapes,Hunky Dory 2020 Tangle Made With Organic Grapes White (Marlborough),$16,Marlborough,91,,,Not rated yet [Add Your Review],White Blend,2020,Hunky Dory
