,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
0,16.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Dark licorice, dust and sage meet a thread of white pepper in this deliciously built, powerful and complex wine from an old-vine estate site. Juicy blackberry dominates on the midpalate in concentrated form, seasoned in graceful hints of nutmeg and oak.                      Virginie Boone ",Highwire Vineyard Old Vine,Hartford 2019 Highwire Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,96, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
1,16.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Seductively smooth and weathered in crisp cranberry, plum and dark cherry, this old-vine wine offers a substantial grip of tannin and notes of crushed rock and oak. Velvety texture leads to dusty black pepper, nutmeg and tobacco.                      Virginie Boone ",Jolene's Vineyard Old Vine,Hartford 2019 Jolene's Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,95, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
2,14.8%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      With the addition of 20% mixed black grapes from 100-plus year-old vines, this consistently interesting, complex wine opens in thick tones of leather, tobacco and cedar. Savory throughout, it tastes of crushed rock, wild blackberry and a tease of gamy meat. It was aged entirely in French oak.                      Virginie Boone ",Tina's Block Maple Vineyards,Armida 2018 Tina's Block Maple Vineyards Zinfandel (Dry Creek Valley),$48, California,94, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2018,Armida
3,14.4%,"Sonoma Coast, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Tart and acid-driven, this wine is surprisingly bright and red fruited, with citrus undertones. Soft, integrated tannins provide structure around an elegant midpalate of graceful oak, a mix of both French and American, leading the way to a spicy, peppery and herbal finish.                      Virginie Boone ",Parmelee-Hill Vineyard,Armida 2018 Parmelee-Hill Vineyard Zinfandel (Sonoma Coast),$48, California,94, Sonoma,Sonoma Coast,Not rated yet [Add Your Review],Zinfandel,2018,Armida
4,15%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,7/1/2021,"
                      This well-constructed bottling, which includes 15% Petite Sirah, kicks off with blackberry-jam aromas that are cut by dried meat, violet, iodine and tar. Those hearty, rugged qualities spread into the sip, where jammy flavors meet with licorice and cola spice. Persistent acidity and supportive tannins ensure even better days to come. Drink now through 2028.                      Matt Kettmann ",,Caliza 2018 Primitivo (Paso Robles Willow Creek District),$70, California,94, Central Coast,Paso Robles Willow Creek District,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2018,Caliza
5,16.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Succulent, with structure and tension in its bones, this hearty, full-bodied wine expresses thick waves of juicy blackberry, dark cherry and cola, the oak well-integrated within a spicy component of nutmeg and white pepper. Planted more than a century ago, the head-trained vines yield low amounts of delicious, concentrated grapes.                      Virginie Boone ",Hartford Vineyard Old Vine,Hartford 2019 Hartford Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
6,15.2%,"Sonoma County, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Juicy plum, black cherry and a hint of cola highlight a soft, round core in this wine. Structured and well integrated in both tannin and oak, it offers a length of baking spice and tobacco, impressing in style and powerful elegance.                      Virginie Boone ",,Benovia 2018 Zinfandel (Sonoma County),$42, California,94, Sonoma,Sonoma County,Not rated yet [Add Your Review],Zinfandel,2018,Benovia
7,16.1%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Dense black fruit contrasts against a tartness of cranberry, the acidity sharp and beautifully complementary to the dry-farmed, head-trained structure of the wine. Powerful grip speaks to its youthful vigor, unwinding slowly in the glass.                      Virginie Boone ",Fanucchi-Wood Road Vineyard Old Vine,Hartford 2019 Fanucchi-Wood Road Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
8,15.6%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      Not much of this was made, sadly, as it delivers velvety thick, rich and tension-filled grip around firm, structured tannin. Blue and black fruit dominate in concentrated form, dusted in nutmeg and oak, from vines more than 100 years old.                      Virginie Boone ",Winberrie Knolls Old Vine,Hartford 2019 Winberrie Knolls Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
9,15.5%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,7/1/2021,"
                      A dry-farmed site planted 100 years ago and head-trained still, Dina's is a study in baked cherry, blackberry and plum, rich and viscously thick. Velvety tannins and ample weight provide an unctuous lushness that is complemented by underlying acidity.                      Virginie Boone ",Dina's Vineyard Old Vine,Hartford 2019 Dina's Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2019,Hartford
