,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
3,11%,"California, California Other, California, US",750 ml,White, US,7/1/21,"
                      An apricot aroma and a strong buttery flavor give this wine a lot of personality. The butterscotch and ripe fruit notes are coated in a rich, mouthfilling texture despite low alcohol.                      Jim Gordon ",,101 North NV Pinot Grigio (California),$6 , California,86, California Other,California,Not rated yet [Add Your Review],Pinot Grigio,,101 North
14,11.50%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,White, US,4/1/21,"
                      Clean and snappy aromas of crystallized citrus and pome fruits are sharp but forgiving on the nose of this barrel-fermented bottling, which also offers a hint of honey dust. The palate shows green-pear and tight apricot flavors, wrapped in a grippy texture and washed by refreshing acidity.                      Matt Kettmann ",Regan Vineyard,Bargetto 2019 Regan Vineyard Pinot Grigio (Santa Cruz Mountains),$28 , California,92, Central Coast,Santa Cruz Mountains,Not rated yet [Add Your Review],Pinot Grigio,2019,Bargetto
30,13%,"California, California Other, California, US",750 ml,White, US,4/1/21,"
                      Nectarine, lime-pith, lemon-blossom and pink-fleshed-fruit aromas show on the nose of this bottling, which exhibits the slightest shade of pink in the glass. Yellow-apple-skin flavors pop on the soft palate.                      Matt Kettmann ",,Estancia 2019 Pinot Grigio (California),$12 , California,88, California Other,California,Not rated yet [Add Your Review],Pinot Grigio,2019,Estancia
34,12%,"North Fork of Long Island, Long Island, New York, US",750 ml,White, US,4/1/21,"
                      This bright, fruity wine is driven by banana, pineapple, pear and apple on the nose. There's a gentle creaminess to the palate, where the orchard fruit flavors are demure and are lifted by a mild vein on acidity.                      Alexander Peartree ",Small Batch Series Corey Creek Vineyard,Bedell 2019 Small Batch Series Corey Creek Vineyard Pinot Grigio (North Fork of Long Island),$25 , New York,87, Long Island,North Fork of Long Island,Not rated yet [Add Your Review],Pinot Grigio,2019,Bedell
38,11%,"Finger Lakes, Finger Lakes, New York, US",750 ml,White, US,4/1/21,"
                      Aromas of juiced pear and a hint of warm spice lead to the juicy palate. The flavors are a bit muted, but what's there is nice.                      Alexander Peartree ",,Penguin Bay 2019 Pinot Grigio (Finger Lakes),$16 , New York,85, Finger Lakes,Finger Lakes,Not rated yet [Add Your Review],Pinot Grigio,2019,Penguin Bay
57,12.10%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,White, US,3/1/21,"
                      The aromas are light but bring some complexity, with notes of apple, pear and the underside of pineapple. Mouthwatering citrus and pear flavors follow. Dried flower notes linger on the finish.                      Sean P. Sullivan ",Daisy,Bieler Family 2019 Daisy Pinot Grigio (Columbia Valley (WA)),$12 , Washington,88, Columbia Valley,Columbia Valley (WA),Not rated yet [Add Your Review],Pinot Grigio,2019,Bieler Family
58,13.80%,"California, California Other, California, US",750 ml,White, US,3/1/21,"
                      Quite light in the glass, this simple but pleasant bottling offers light aromas of apple blossom, honeydew and a steel minerality. Riper apple-flesh flavors show on the palate as does a touch of light lime juice.                      Matt Kettmann ",,Summerland 2019 Pinot Grigio (California),$35 , California,88, California Other,California,Not rated yet [Add Your Review],Pinot Grigio,2019,Summerland
59,12.90%,"Mendocino, Mendocino County, California, US",750 ml,White, US,3/1/21,"
                      A hint of pink in the color and unusually ripe, floral flavors help this medium-bodied wine stand out. It's mouthfilling, smooth and full of peach and plums flavors.                      Jim Gordon ",,The Girls in the Vineyard 2019 Pinot Grigio (Mendocino),$20 , California,88, Mendocino County,Mendocino,Not rated yet [Add Your Review],Pinot Grigio,2019,The Girls in the Vineyard
63,12.50%,"America, US",750 ml,White, US,3/1/21,"
                      This medium-bodied wine tastes clean, fresh and mildly fruity, offering honeydew melon aromas, jicama flavors and a rather soft texture.                      Jim Gordon ",,Barefoot NV Pinot Grigio (America),$7 ,America,87,,,Not rated yet [Add Your Review],Pinot Grigio,,Barefoot
65,12.90%,"California, California Other, California, US",750 ml,White, US,3/1/21,"
                      Nearly neutral in flavor, this medium-bodied wine is rounded in texture and generally ripe tasting, with a good nip of acidity for balance.                      Jim Gordon ",,Insomnia NV Pinot Grigio (California),$14 , California,86, California Other,California,Not rated yet [Add Your Review],Pinot Grigio,,Insomnia
